PA_ID,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes
126,61165,36151,25014,7799,10400,14976,575,765,1246,390
127,65553,47630,17923,17860,17666,8724,362,1130,1588,300
128,73707,44369,29338,12553,17262,9875,554,1145,1851,1129
129,62787,40958,21829,12143,16894,7186,750,1117,2868,0
130,65263,42200,23063,16589,15736,6567,614,969,0,1725
131,52385,38011,14374,8506,10065,4609,0,1285,13546,0
132,58108,40507,17601,16649,13226,4890,0,1146,4232,364
133,66524,45918,20606,16920,4015,22180,355,1348,0,1100
134,67284,45026,22258,19806,6609,4232,0,0,0,14379
135,59882,38258,21624,4421,2210,19139,696,977,10815,0
136,74473,53542,20931,26560,10536,11531,0,1799,0,3116
137,67964,43807,24157,20230,14161,5832,396,1314,0,1874
138,71635,52512,19123,21445,4920,24717,0,1430,0,0
139,77525,54593,22932,25207,5980,20097,476,1527,0,1306
140,66257,39856,26401,24093,7371,6473,671,478,0,770
141,78998,52786,26212,21739,2703,26659,0,1192,0,493
142,70333,52444,17889,31658,2942,14948,767,2129,0,0
143,70131,46790,23341,18995,16412,8930,535,1225,0,693
144,71878,45839,26039,7214,17891,17342,600,1432,0,1360
145,81576,56787,24789,31427,5937,15550,0,3873,0,0
146,64831,43106,21725,22743,9780,7242,650,1133,0,1558
147,72106,52385,19721,21500,3620,23970,446,1783,0,1066
148,75120,50608,24512,24700,12773,10202,1021,1442,0,470
149,70976,49774,21202,18922,21515,6957,0,2021,0,359
150,68859,49416,19443,27888,4849,12478,0,4201,0,0
151,66849,36931,29918,19264,8188,7574,778,664,0,463
152,67194,43123,24071,22867,10799,5577,535,0,0,3345
153,70214,44966,25248,18939,14641,8192,0,3194,0,0
154,53748,34681,19067,10477,13311,5965,0,819,3009,1100
155,57913,38111,19802,15833,9414,5801,0,864,5864,335
157,74064,46139,27925,15169,5680,22151,694,1350,0,1095
158,80060,55296,24764,20440,14589,15603,867,1163,0,2634
159,72280,50780,21500,23250,8747,16187,0,2147,0,449
160,63149,42787,20362,15866,19699,4365,389,994,0,1474
161,78024,54236,23788,22886,20991,7834,0,0,0,2525
162,67940,46844,21096,19531,1971,22512,0,2300,0,530
163,71373,49617,21756,22390,3507,19170,826,3083,0,641
164,76729,54832,21897,29075,5886,16211,940,2292,0,428
165,73035,43383,29652,9609,21384,7210,0,1291,0,3889
166,72871,46560,26311,13648,19936,8344,497,1295,0,2840
167,73652,45924,27728,15352,19197,8278,639,1767,0,691
168,72781,47504,25277,21264,15336,6844,598,1382,0,2080
169,79728,51084,28644,23420,17374,7656,0,1414,0,1220
170,76349,49667,26682,19567,16688,6553,581,997,0,5281
171,85216,51676,33540,12466,28947,7226,1017,891,0,1129
172,81303,56322,24981,28684,11287,12866,981,2504,0,0
174,50650,29876,20774,3010,15681,4120,0,1001,6064,0
175,69764,44232,25532,15183,17813,3806,296,1569,0,5565
176,68168,42896,25272,13503,16891,10046,0,1194,0,1262
177,76271,50080,26191,24428,13800,7361,0,1842,0,2649
178,71452,51774,19678,29252,8168,10064,770,2333,0,1187
179,53470,36984,16486,12811,15083,5747,0,655,1844,844
180,66330,37635,28695,9360,19191,6727,0,2060,0,297
181,71474,45080,26394,14283,14896,12638,0,829,0,2434
182,70999,41188,29811,11729,17851,8430,0,1821,0,1357
183,63376,46780,16596,24378,9061,10512,772,1779,0,278
184,66074,47342,18732,22877,11585,9711,0,1252,0,1917
185,71398,47034,24364,15503,17948,10947,0,2636,0,0
186,70608,50419,20189,22935,15807,8012,0,1206,0,2459
187,67379,46340,21039,25519,4711,12514,813,2076,0,707
188,71203,53873,17330,27737,3715,18507,1044,2870,0,0
189,73109,53092,20017,25662,5721,16548,815,4346,0,0
190,74508,51321,23187,18484,2671,24305,697,3720,0,1444
191,70813,49860,20953,27908,6193,12034,641,3084,0,0
192,77360,55257,22103,25230,2917,22273,1050,3021,0,766
193,78910,54008,24902,18898,17372,9150,849,0,0,7739
194,72597,43420,29177,12877,16472,7422,0,1904,0,4745
195,72985,41745,31240,10340,16569,8795,0,1421,0,4620
196,71681,41483,30198,8728,19637,6174,0,1797,0,5147
197,64660,46788,17872,20831,2748,21100,0,2109,0,0
198,73741,54141,19600,27640,2910,20015,546,2812,0,218
199,73360,50310,23050,22667,15224,9557,595,2034,0,233
200,76869,57337,19532,27287,3815,23364,675,2196,0,0
201,71833,50385,21448,22174,16900,7962,0,1747,0,1602
204,60838,38602,22236,14274,14923,4066,0,3267,0,2072
205,60572,38165,22407,16450,12594,5989,0,3132,0,0
206,72817,48214,24603,10684,22461,13096,1266,707,0,0
214,68832,46252,22580,6146,20496,17429,0,856,0,1325
215,67544,40967,26577,8622,20698,8617,0,1344,0,1686
216,70350,43815,26535,8766,18539,10927,0,1259,0,4324
217,45354,28906,16448,6447,4021,3538,0,776,12814,1310
218,70251,47200,23051,17944,14228,13041,737,765,0,485
219,73104,47678,25426,14722,24023,6283,505,685,0,1460
220,66970,42756,24214,12733,22024,6383,705,0,0,911
221,63879,34914,28965,4790,20579,5597,0,1631,0,2317
222,90674,50373,40301,7645,35471,5849,586,0,0,822
225,77840,52124,25716,21223,2497,24658,0,1305,0,2441
226,77436,53650,23786,21102,5153,24966,0,1933,0,496
227,72100,45414,26686,23472,9794,10217,0,1931,0,0
233,63904,40377,23527,12052,21665,4252,516,1036,0,856
234,66509,44233,22276,15419,19750,6663,0,1619,0,782
235,77724,55789,21935,23778,19257,9109,0,1593,0,2052
236,62590,41964,20626,15753,17416,5299,419,1011,0,2066
237,66261,44453,21808,18804,17112,5403,489,938,0,1707
238,64139,44352,19787,21928,14302,6124,632,505,0,861
239,72186,46584,25602,25148,6641,10017,659,1852,0,2267
240,79908,54955,24953,30868,6538,14734,0,2549,0,266
241,69655,47642,22013,18805,16304,8343,534,855,0,2801
242,69900,42476,27424,13365,19068,5116,322,1139,0,3466
243,75338,54543,20795,32134,5829,13541,0,1783,0,1256
244,77158,52247,24911,17221,19942,10581,792,1930,0,1781
246,75915,54345,21570,30037,7719,12945,791,2235,0,618
247,68858,46712,22146,26250,7748,9162,890,1722,0,940
248,81058,48536,32522,16516,21174,6679,530,992,0,2645
251,69003,48301,20702,19686,12772,12197,441,1506,0,1699
252,70722,47157,23565,21688,15879,8036,737,817,0,0
253,78005,52800,25205,26109,5719,15987,637,2439,0,1909
254,68419,48763,19656,22853,11789,10676,923,2522,0,0
256,65926,43690,22236,22826,8624,9641,654,1945,0,0
257,72939,49251,23688,24266,7701,13707,0,2065,0,1512
258,71312,42825,28487,6908,25493,8616,0,1540,0,268
259,66492,38257,28235,5716,20712,8163,379,1103,0,2184
260,70866,48190,22676,17962,19821,7350,0,1459,0,1598
261,70814,46786,24028,21624,12944,8484,356,1515,0,1863
270,79321,50764,28557,20267,17847,9767,511,1808,0,564
272,72816,46939,25877,24300,7944,9887,573,1496,0,2739
273,61696,41671,20025,13333,16016,7947,0,652,2760,963
274,78008,52799,25209,26552,9503,11726,0,1604,0,3414
275,70195,47303,22892,22956,13644,6293,675,2265,0,1470
276,61229,32954,28275,10063,10777,7388,0,2043,0,2683
277,70315,43057,27258,18571,14295,6188,416,2066,0,1521
278,65489,41188,24301,10109,20262,7498,1054,0,0,2265
279,77082,55567,21515,29618,2812,21836,0,1021,0,280
280,73906,46461,27445,6759,25553,11092,2133,0,0,924
281,72841,42858,29983,5800,23888,9600,1493,651,0,1426
282,63693,43979,19714,18115,16092,6515,0,2824,0,433
283,70380,43555,26825,14806,16278,8335,0,654,0,3482
284,70254,48737,21517,24486,7630,12884,669,0,0,3068
285,68846,41338,27508,8339,23843,5718,647,1228,0,1563
286,72348,47452,24896,17261,20810,7567,696,551,0,567
287,72262,51317,20945,29137,4043,15640,0,1477,0,1020
288,72196,52939,19257,32075,5173,13478,0,2213,0,0
289,76695,53292,23403,31072,6980,12489,0,2751,0,0
290,80373,52822,27551,17290,17332,16491,759,408,0,542
291,77917,54945,22972,26894,6981,17097,0,1462,0,2511
292,67583,43878,23705,19691,14766,5990,0,1591,0,1840
293,74760,53134,21626,24305,3413,23266,0,1056,0,1094
294,70510,48006,22504,21435,18032,6850,793,896,0,0
295,68554,46116,22438,16968,20111,7458,625,954,0,0
296,68927,38242,30685,10758,16267,6533,0,2682,0,2002
297,70743,49000,21743,23001,9774,11554,909,2527,0,1235
298,77030,49814,27216,20468,18475,7825,0,1397,0,1649
299,69662,43903,25759,22433,7777,10273,0,2611,0,809
300,70231,42637,27594,12553,23377,3726,348,0,0,2633
301,62300,41981,20319,14114,5234,20485,0,2148,0,0
302,72752,49471,23281,24721,10295,11315,0,1254,0,1886
303,75542,43840,31702,10662,20506,5667,0,0,0,7005
304,72943,46374,26569,19635,19529,5734,518,958,0,0
305,73123,53520,19603,30054,5835,13466,1328,1817,0,1020
306,72021,48381,23640,22366,3506,19885,0,1638,0,986
307,66946,47568,19378,24631,3373,14744,1533,2701,0,586
308,78459,55377,23082,29810,7620,14373,0,1716,0,1858
309,72200,50425,21775,26995,8291,11801,875,2075,0,388
310,78248,56750,21498,30773,6526,15853,0,1450,0,2148
311,73057,47270,25787,26476,8871,8210,604,1712,0,1397
312,60360,43483,16877,18795,8253,13007,0,0,0,3428
313,80171,46125,34046,12528,18499,10474,0,1215,0,3409
314,71458,50337,21121,20587,15910,10993,922,1690,0,235
315,73851,54707,19144,29869,7413,14598,807,1663,0,357
316,86563,54649,31914,11134,25198,15256,1480,587,0,994
317,78547,53390,25157,27469,11098,7426,542,2848,0,4007
318,78748,55042,23706,9174,18720,25595,1261,0,0,292
319,77564,55841,21723,29447,4189,17987,570,2839,0,809
320,68729,38021,30708,8147,19137,5292,0,1022,0,4423
321,71720,49819,21901,18294,16426,11240,2568,1206,0,85
322,66318,40524,25794,11253,15725,10023,1641,0,0,1882
323,67530,34184,33346,5667,16387,7790,0,2745,0,1595
324,64082,33291,30791,4365,13044,12403,478,1358,0,1643
325,57264,31505,25759,6361,13378,7636,0,1688,0,2442
326,83557,54266,29291,26516,5982,15697,652,3258,0,2161
327,67221,42672,24549,14441,17531,5033,463,1481,0,3723
328,72372,47018,25354,21506,16102,5966,572,871,0,2001
329,86220,51191,35029,14014,25301,8679,1319,1132,0,746
332,75770,46941,28829,18371,16292,8556,775,1365,0,1582
333,109922,70264,39658,32810,8169,22283,931,2435,0,3636
334,68119,44554,23565,6339,24276,11875,1348,716,0,0
335,67650,43555,24095,8449,18407,14838,710,701,0,450
336,54866,34684,20182,4854,17069,3597,0,930,4518,3716
337,64350,38784,25566,8002,20910,7163,0,0,0,2709
338,65893,47692,18201,20003,17063,7059,0,1470,0,2097
339,64362,48431,15931,25945,6949,13393,568,1214,0,362
340,65975,35150,30825,17595,8979,6872,753,754,0,197
341,68824,47328,21496,23247,14153,7498,0,0,0,2430
343,81115,57111,24004,20868,5337,28428,555,1450,0,473
344,66361,47906,18455,19362,16917,8072,383,1528,0,1644
346,79564,44658,34906,4004,31650,5964,0,1145,0,1895
349,73835,48473,25362,17540,21883,6573,485,1775,0,217
350,67379,42701,24678,15404,15071,8167,1888,1020,0,1151
351,81266,37394,43872,7541,18434,7789,0,0,0,3630
352,64698,37813,26885,8763,19056,6618,0,0,0,3376
353,67899,47535,20364,15742,20287,9310,0,842,0,1354
354,65399,43483,21916,11550,9132,20653,508,600,0,1040
355,67453,38752,28701,7641,16389,9373,1832,1140,0,2377
356,72986,47995,24991,11722,25804,6817,733,725,0,2194
357,77175,47124,30051,10066,21479,12671,770,720,0,1418
358,64900,35819,29081,9728,13745,8107,639,883,0,2717
359,71217,51952,19265,23147,15636,8639,0,1134,0,3396
360,76633,54577,22056,27000,11392,11476,0,1988,0,2721
361,75903,44332,31571,9284,21295,8049,0,1535,0,4169
362,68708,50088,18620,18401,2508,26048,729,1728,0,674
363,67058,41220,25838,5551,22132,9633,2772,0,0,1132
364,65926,41719,24207,9850,17966,11750,624,771,0,758
365,69022,45028,23994,11489,18501,12673,931,1117,0,317
366,63541,40159,23382,8928,17511,11095,562,1080,0,983
367,72586,51563,21023,28048,10230,10365,0,2920,0,0
368,73540,45721,27819,17163,16105,9256,0,1004,0,2193
370,74539,38801,35738,4243,22998,8825,1355,674,0,706
371,62612,34335,28277,2241,24709,4891,0,898,0,1596
372,62518,37914,24604,2830,20132,12965,598,890,0,499
373,63082,35784,27298,3311,22953,4486,0,1093,0,3941
375,55637,37461,18176,5381,15916,3902,0,1047,11215,0
377,77505,52838,24667,21971,18227,9675,0,925,0,2040
378,77650,50494,27156,25065,8760,11194,0,2183,0,3292
379,66632,48732,17900,25720,3272,15971,447,2127,0,1195
380,65645,43018,22627,13672,21192,4784,490,1564,0,1316
381,65219,42216,23003,12396,14725,9567,366,975,0,4187
382,75370,50059,25311,23503,10164,11544,840,1418,0,2590
383,72844,53720,19124,31937,3795,15168,482,1243,0,1095
384,71041,48928,22113,23491,4769,17602,655,1637,0,774
385,73813,43771,30042,8210,20700,7082,0,0,0,7779
386,68777,47895,20882,28661,6070,9254,0,2446,0,1464
387,90110,39927,50183,4704,21059,10620,915,607,0,2022
388,75933,38325,37608,4224,19211,12508,1048,0,0,1334
389,74371,45031,29340,5005,18216,20110,798,698,0,204
390,80069,48395,31674,12741,18753,7469,0,2985,0,6447
391,70488,51238,19250,28818,3266,16693,0,1490,0,971
392,82228,52162,30066,26956,10703,9278,678,1378,0,3169
393,54715,32076,22639,2412,14007,9951,0,872,1621,3213
394,65148,33455,31693,6283,15351,6662,0,1236,0,3923
395,72666,46214,26452,16461,18138,7340,0,1881,0,2394
397,82432,53888,28544,23419,14458,11894,733,1772,0,1612
398,86559,55333,31226,23034,17833,9787,774,2074,0,1831
399,65939,43797,22142,11056,24722,5202,381,857,0,1579
400,72297,54324,17973,31263,3804,15610,895,2752,0,0
401,64538,46519,18019,22466,12041,9026,587,1126,1273,0
402,48730,33813,14917,13976,2407,12792,0,1128,2802,708
404,69576,43436,26140,18035,17169,5791,598,1843,0,0
405,74891,48856,26035,17264,18365,8186,0,1506,0,3535
408,57295,37122,20173,4847,17172,5535,0,829,7397,1342
409,72858,50036,22822,26443,4915,15136,1024,2518,0,0
410,68332,47572,20760,27980,4666,11084,1059,2783,0,0
411,71755,51228,20527,27590,11438,10246,0,1954,0,0
412,79144,58589,20555,33057,2505,20809,490,1475,0,253
413,69433,43191,26242,14841,16393,8466,0,3491,0,0
414,60507,34157,26350,6611,15694,8228,568,754,0,2302
415,64487,37840,26647,6068,17043,12590,620,0,0,1519
416,67110,43946,23164,7966,17950,14536,319,1285,0,1890
