log_median_earning,religion_christian,religion_refused,religion_none,religion_other,private_sector_employment,owns_housing,mean_social_grade,log_density,pa_id
6.076494796,56.82337109,7.115963286,34.68465063,1.376015,0.354011717,0.681718498,1.096585029,1.265692506,1
6.155070386,64.45626163,7.81529735,26.38128157,1.347159443,0.36167740600000003,0.7124850159999999,1.405878751,-0.098698293,2
6.291939441,58.14168319,6.985046477000001,26.53624834,8.337021997,0.480271634,0.664157499,1.6030090780000001,2.976245355,7
6.104346704,70.17434458,6.105957856,19.72224387,3.997453686,0.402863276,0.7825092770000001,1.4664669819999998,2.861907935,8
6.541895426,65.26902092,6.441593937,20.75762752,7.531757617,0.452849513,0.7767485,1.947074441,2.942521923,9
6.125558282,65.57057148,7.131688989,26.28810375,1.00963578,0.46988403100000004,0.741865563,1.340262106,1.6598629280000001,10
6.202737926,60.01615785,7.1708976710000005,31.71603154,1.096912941,0.439008579,0.740256013,1.28031109,1.953169999,11
6.234410726,55.62544368,8.612748254,32.48642134,3.2753867239999996,0.324963844,0.629848669,1.451351505,0.32672021,16
6.314634412999999,65.48366866,7.960562164,25.03726855,1.518500622,0.428530536,0.769702799,1.833608898,0.408480285,18
6.050912006,58.20691956,6.817512805,33.75787429,1.2176933490000001,0.41716615,0.70884104,1.157571925,2.247255365,19
6.206374294,62.72799717,7.627944041,26.38037896,3.26367983,0.45463505299999996,0.698412273,1.5114563109999999,0.8075155620000001,20
6.030925616,65.04243844,5.625303921,20.12731533,9.20494231,0.421547212,0.661981713,1.192592085,3.4831635760000004,21
6.2559419620000005,59.12318217,7.01121016,25.88889815,7.9767095260000005,0.460381155,0.715132247,1.6812939269999998,1.762021871,22
6.269853573,63.45905977,6.855030188,25.74452208,3.941387966,0.48895727200000005,0.698270933,1.5718364519999999,0.933449304,26
6.246687992000001,53.45466139999999,6.373811451,18.19593992,21.97558722,0.39464439100000004,0.46036717899999996,1.198340204,4.031224107,28
6.144185633999999,67.65289218,6.605688686000001,24.38224794,1.3591711969999998,0.395389082,0.664852027,1.174844334,2.874822993,29
6.163946183999999,68.6522768,6.291881372000001,24.27073888,0.785102948,0.388872226,0.65154607,1.12474488,2.343403747,30
6.308826774,70.20016662,6.646702542000001,22.10839169,1.0447391529999999,0.396959437,0.766447443,1.323855218,0.8038259659999999,31
6.323103695,61.01999175,7.021084438,29.32532028,2.633603532,0.448621449,0.687814895,1.49248614,2.70071014,32
6.387552492999999,61.28542824,6.291930722999999,30.05181347,2.370827571,0.459766419,0.6914424459999999,1.320321662,1.894516945,33
6.364922859,56.43912738,7.120634097999999,32.07155821,4.3686803219999994,0.540065695,0.672205396,1.667494697,2.908585762,34
6.158037747000001,70.80668157,6.812577065,20.97333539,1.40740598,0.406503492,0.717042911,1.2532543999999999,0.77035974,35
6.284880151,51.15182479999999,8.645156934,36.94167164,3.261346628,0.36212360299999996,0.583007917,1.825306355,3.433591442,36
6.194609452000001,53.60754039,5.954642767999999,20.50899452,19.92882232,0.43378564799999997,0.7217500020000001,1.274602648,2.974910149,37
6.519737085,55.05533741,8.044307416,28.43152874,8.468826435,0.591545399,0.42715889100000004,2.091425989,4.576198125,38
6.452364362000001,63.01327135,6.975761417999999,21.75133569,8.259631541000001,0.480068916,0.76826833,1.979280379,1.729769584,39
6.5552146339999995,62.04847663,7.613979842000001,25.01178012,5.3257634089999994,0.437205485,0.7966033109999999,1.9534954759999998,3.2278269969999998,40
6.261300826,56.12372113,6.568974729,23.224427600000002,14.08287654,0.40935455600000004,0.6136828879999999,1.41035067,3.393786405,41
6.4860083379999995,63.94762338,6.632974101,26.37708373,3.042318794,0.460656981,0.76771542,1.7989907490000001,0.783175772,42
6.385868707999999,62.69130418,6.732154679,27.90120332,2.675337825,0.47013347,0.769930255,1.744040953,0.637804326,43
6.2753268339999995,61.22256961,6.898883672999999,29.00491027,2.8736364439999997,0.474233601,0.732870293,1.56068129,2.086755499,44
6.4509442439999995,51.26223107,8.034966251,27.73983971,12.96296296,0.490834366,0.240229163,1.776890955,4.702751243,49
6.22475643,70.43503526,6.936263503999999,21.62233551,1.0063657259999998,0.380437165,0.64728698,1.3981065830000001,-1.164939693,50
6.431008969,24.98663752,15.34491149,21.15499677,38.51345422,0.440950898,0.229494757,1.628616419,4.9175420789999995,52
6.221782302,67.30260256,7.524962907000001,24.21201428,0.960420259,0.37205693,0.77633964,1.577826676,0.18133599399999997,53
6.152307072,64.59042759,7.994877242,25.64754237,1.767152799,0.35781900299999997,0.762420985,1.5955222230000001,0.640527886,54
6.446354539,61.45159822,7.069028322,25.19010108,6.28927238,0.43415531399999996,0.74987432,1.5038135259999998,3.6491562510000004,55
6.104346704,68.26656759,6.686707649,23.02010854,2.026616226,0.346465116,0.579297517,1.142273633,3.456906703,56
6.254021101,52.40348770000001,6.946400464,24.74215061,15.90796123,0.32521582600000004,0.5522366679999999,1.5890930490000001,3.529842805,57
6.094472297,57.53032379,6.950438749,24.87267074,10.64656671,0.373099415,0.5429165029999999,1.149910692,3.791948058,58
6.22475643,26.62116924,6.070541137999999,12.6673799,54.64090972,0.33167766600000004,0.641639737,1.358210388,4.074072082,59
6.017619505,29.366853499999998,5.941090419,11.1901905,53.50186558,0.311583075,0.589873125,0.867632912,4.0835798819999996,60
6.085865223,32.53297341,7.047745337,15.801188699999999,44.61809255,0.32978888,0.362319448,1.254528899,3.89561366,61
6.112796832000001,60.77872651,6.754944687,28.53424306,3.9320857410000003,0.34850986100000003,0.591960806,1.250131128,3.724882192,62
