PA_ID,log.earn,nonwhite,relig.christian,relig.refused,relig.none,relig.other,age,private,owns,female,married,education,socgrd,log.density
1,6.076494796,2.4133186159999997,56.82337109,7.115963286,34.68465063,1.376015,41,0.354011717,0.681718498,0.512331211,0.45709143700000004,1.6149683540000002,1.096585029,1.265692506
2,6.155070386,2.162545422,64.45626163,7.81529735,26.38128157,1.347159443,46,0.36167740600000003,0.7124850159999999,0.516653372,0.476687441,2.05126672,1.405878751,-0.098698293
7,6.291939441,14.466619199999998,58.14168319,6.985046477000001,26.53624834,8.337021997,36,0.480271634,0.664157499,0.501010373,0.500608046,2.0978126130000003,1.6030090780000001,2.976245355
8,6.104346704,6.871151297999999,70.17434458,6.105957856,19.72224387,3.997453686,44,0.402863276,0.7825092770000001,0.510704913,0.5287274679999999,1.788754051,1.4664669819999998,2.861907935
9,6.541895426,9.566108644,65.26902092,6.441593937,20.75762752,7.531757617,41,0.452849513,0.7767485,0.5109378720000001,0.529506327,2.525306491,1.947074441,2.942521923
10,6.125558282,1.782922247,65.57057148,7.131688989,26.28810375,1.00963578,40,0.46988403100000004,0.741865563,0.505193625,0.496763657,1.9383150000000002,1.340262106,1.6598629280000001
11,6.202737926,1.6112331169999998,60.01615785,7.1708976710000005,31.71603154,1.096912941,42,0.439008579,0.740256013,0.50783428,0.49148989,1.7422797559999998,1.28031109,1.953169999
16,6.234410726,5.641127235,55.62544368,8.612748254,32.48642134,3.2753867239999996,37,0.324963844,0.629848669,0.509467915,0.39418287,2.222696228,1.451351505,0.32672021
18,6.314634412999999,2.251534436,65.48366866,7.960562164,25.03726855,1.518500622,47,0.428530536,0.769702799,0.519981083,0.5644998689999999,2.307908507,1.833608898,0.408480285
19,6.050912006,2.042898915,58.20691956,6.817512805,33.75787429,1.2176933490000001,41,0.41716615,0.70884104,0.5082814920000001,0.485871754,1.5800968430000002,1.157571925,2.247255365
20,6.206374294,6.504338587,62.72799717,7.627944041,26.38037896,3.26367983,40,0.45463505299999996,0.698412273,0.5147777579999999,0.512594219,2.024100503,1.5114563109999999,0.8075155620000001
21,6.030925616,12.64864506,65.04243844,5.625303921,20.12731533,9.20494231,39,0.421547212,0.661981713,0.5082445520000001,0.432702744,1.6497695190000001,1.192592085,3.4831635760000004
22,6.2559419620000005,14.20570783,59.12318217,7.01121016,25.88889815,7.9767095260000005,38,0.460381155,0.715132247,0.504873782,0.51273442,2.224255644,1.6812939269999998,1.762021871
26,6.269853573,7.583440744,63.45905977,6.855030188,25.74452208,3.941387966,38,0.48895727200000005,0.698270933,0.505418561,0.513778034,2.12116068,1.5718364519999999,0.933449304
28,6.246687992000001,44.99603476,53.45466139999999,6.373811451,18.19593992,21.97558722,31,0.39464439100000004,0.46036717899999996,0.510984115,0.419794118,1.8146871919999998,1.198340204,4.031224107
29,6.144185633999999,2.68800896,67.65289218,6.605688686000001,24.38224794,1.3591711969999998,41,0.395389082,0.664852027,0.506498355,0.457873886,1.6611984169999998,1.174844334,2.874822993
30,6.163946183999999,1.873189287,68.6522768,6.291881372000001,24.27073888,0.785102948,41,0.388872226,0.65154607,0.5104938410000001,0.468642635,1.555349633,1.12474488,2.343403747
31,6.308826774,1.571611915,70.20016662,6.646702542000001,22.10839169,1.0447391529999999,43,0.396959437,0.766447443,0.506281945,0.485415902,1.965859496,1.323855218,0.8038259659999999
32,6.323103695,7.292026715,61.01999175,7.021084438,29.32532028,2.633603532,39,0.448621449,0.687814895,0.5182579420000001,0.485779964,1.817096221,1.49248614,2.70071014
33,6.387552492999999,7.07532564,61.28542824,6.291930722999999,30.05181347,2.370827571,39,0.459766419,0.6914424459999999,0.511394835,0.48001183299999994,1.654102115,1.320321662,1.894516945
34,6.364922859,9.638319937999999,56.43912738,7.120634097999999,32.07155821,4.3686803219999994,36,0.540065695,0.672205396,0.5055465020000001,0.48998796,2.1854715209999998,1.667494697,2.908585762
35,6.158037747000001,2.578799322,70.80668157,6.812577065,20.97333539,1.40740598,43,0.406503492,0.717042911,0.505095946,0.50458414,1.77660585,1.2532543999999999,0.77035974
36,6.284880151,8.346931656,51.15182479999999,8.645156934,36.94167164,3.261346628,36,0.36212360299999996,0.583007917,0.51006651,0.37438841700000003,2.624474797,1.825306355,3.433591442
37,6.194609452000001,22.20502507,53.60754039,5.954642767999999,20.50899452,19.92882232,37,0.43378564799999997,0.7217500020000001,0.5064180389999999,0.499145279,1.767551109,1.274602648,2.974910149
38,6.519737085,26.51603895,55.05533741,8.044307416,28.43152874,8.468826435,32,0.591545399,0.42715889100000004,0.511072168,0.291086151,3.050300645,2.091425989,4.576198125
39,6.452364362000001,12.44730196,63.01327135,6.975761417999999,21.75133569,8.259631541000001,43,0.480068916,0.76826833,0.516083592,0.548588215,2.42388383,1.979280379,1.729769584
40,6.5552146339999995,13.30866212,62.04847663,7.613979842000001,25.01178012,5.3257634089999994,42,0.437205485,0.7966033109999999,0.518302284,0.505695728,2.405000445,1.9534954759999998,3.2278269969999998
41,6.261300826,25.57338769,56.12372113,6.568974729,23.224427600000002,14.08287654,36,0.40935455600000004,0.6136828879999999,0.507242792,0.44560284,2.036157401,1.41035067,3.393786405
42,6.4860083379999995,6.4022532739999995,63.94762338,6.632974101,26.37708373,3.042318794,41,0.460656981,0.76771542,0.501263471,0.5543195910000001,2.277797885,1.7989907490000001,0.783175772
43,6.385868707999999,5.939678336,62.69130418,6.732154679,27.90120332,2.675337825,41,0.47013347,0.769930255,0.508859379,0.552500425,2.230129343,1.744040953,0.637804326
44,6.2753268339999995,7.544765807,61.22256961,6.898883672999999,29.00491027,2.8736364439999997,40,0.474233601,0.732870293,0.507237996,0.496319086,2.0289790290000003,1.56068129,2.086755499
49,6.4509442439999995,41.54692465,51.26223107,8.034966251,27.73983971,12.96296296,30,0.490834366,0.240229163,0.494293483,0.24724378600000002,2.663687036,1.776890955,4.702751243
50,6.22475643,1.347103727,70.43503526,6.936263503999999,21.62233551,1.0063657259999998,47,0.380437165,0.64728698,0.506299691,0.537343814,2.016700165,1.3981065830000001,-1.164939693
52,6.431008969,53.05741478,24.98663752,15.34491149,21.15499677,38.51345422,28,0.440950898,0.229494757,0.48895501399999997,0.283271135,2.439792169,1.628616419,4.9175420789999995
53,6.221782302,1.5017844969999998,67.30260256,7.524962907000001,24.21201428,0.960420259,46,0.37205693,0.77633964,0.511448851,0.549116327,2.09496513,1.577826676,0.18133599399999997
54,6.152307072,2.815531089,64.59042759,7.994877242,25.64754237,1.767152799,48,0.35781900299999997,0.762420985,0.523960805,0.521738613,2.028960267,1.5955222230000001,0.640527886
55,6.446354539,15.88539295,61.45159822,7.069028322,25.19010108,6.28927238,39,0.43415531399999996,0.74987432,0.517666879,0.47817152399999996,1.8593184669999998,1.5038135259999998,3.6491562510000004
56,6.104346704,4.177081222,68.26656759,6.686707649,23.02010854,2.026616226,39,0.346465116,0.579297517,0.517620302,0.365733508,1.8094875209999999,1.142273633,3.456906703
