population_size,sex,age,ethnicity,pa_id
36,female,Age 20 to 24,other,7
35,female,Age 25 to 29,other,7
30,female,Age 30 to 34,other,7
37,female,Age 35 to 39,other,7
26,female,Age 40 to 44,other,7
17,female,Age 45 to 49,other,7
11,female,Age 50 to 54,other,7
9,female,Age 55 to 59,other,7
6,female,Age 60 to 64,other,7
6,female,Age 65 to 69,other,7
4,female,Age 70 to 74,other,7
1,female,Age 75 to 79,other,7
0,female,Age 80 to 84,other,7
1,female,Age 85 and over,other,7
6222,male,Age 15 and below,white,8
931,male,Age 16 to 17,white,8
815,male,Age 18 to 19,white,8
1887,male,Age 20 to 24,white,8
1743,male,Age 25 to 29,white,8
1631,male,Age 30 to 34,white,8
2047,male,Age 35 to 39,white,8
2710,male,Age 40 to 44,white,8
2811,male,Age 45 to 49,white,8
2427,male,Age 50 to 54,white,8
2088,male,Age 55 to 59,white,8
2465,male,Age 60 to 64,white,8
2222,male,Age 65 to 69,white,8
1932,male,Age 70 to 74,white,8
1456,male,Age 75 to 79,white,8
990,male,Age 80 to 84,white,8
644,male,Age 85 and over,white,8
5861,female,Age 15 and below,white,8
869,female,Age 16 to 17,white,8
745,female,Age 18 to 19,white,8
1691,female,Age 20 to 24,white,8
1737,female,Age 25 to 29,white,8
1646,female,Age 30 to 34,white,8
2150,female,Age 35 to 39,white,8
2783,female,Age 40 to 44,white,8
2837,female,Age 45 to 49,white,8
2546,female,Age 50 to 54,white,8
2058,female,Age 55 to 59,white,8
2578,female,Age 60 to 64,white,8
2561,female,Age 65 to 69,white,8
2189,female,Age 70 to 74,white,8
1809,female,Age 75 to 79,white,8
1374,female,Age 80 to 84,white,8
1230,female,Age 85 and over,white,8
241,male,Age 15 and below,mixed,8
31,male,Age 16 to 17,mixed,8
26,male,Age 18 to 19,mixed,8
62,male,Age 20 to 24,mixed,8
41,male,Age 25 to 29,mixed,8
21,male,Age 30 to 34,mixed,8
31,male,Age 35 to 39,mixed,8
28,male,Age 40 to 44,mixed,8
25,male,Age 45 to 49,mixed,8
23,male,Age 50 to 54,mixed,8
12,male,Age 55 to 59,mixed,8
3,male,Age 60 to 64,mixed,8
5,male,Age 65 to 69,mixed,8
3,male,Age 70 to 74,mixed,8
1,male,Age 75 to 79,mixed,8
4,male,Age 80 to 84,mixed,8
0,male,Age 85 and over,mixed,8
311,female,Age 15 and below,mixed,8
40,female,Age 16 to 17,mixed,8
20,female,Age 18 to 19,mixed,8
62,female,Age 20 to 24,mixed,8
36,female,Age 25 to 29,mixed,8
37,female,Age 30 to 34,mixed,8
