year,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes,pa_id
2010,67851,49661,18190,15928,2896,27554,508,2680,0,95,422
2010,73105,47800,25305,25916,6353,11106,745,1841,0,1839,423
2010,76179,54993,21186,27133,7252,16193,1000,2329,0,1086,424
2010,73758,49150,24608,23753,9119,10613,830,3061,0,1774,425
2010,82336,46239,36097,11314,22293,7585,0,0,0,5047,426
2010,61850,40271,21579,13735,11799,11250,443,1238,0,1806,427
2010,63105,38978,24127,15917,9913,7579,363,1897,0,3309,428
2010,82033,59890,22143,33081,10380,12603,685,2406,0,735,429
2010,64814,42573,22241,17280,13379,7783,1245,1878,0,1008,430
2010,73649,47551,26098,10902,13650,13960,7095,1145,0,799,431
2010,58705,33112,25593,7846,15022,8053,928,1138,0,125,432
2010,63240,34285,28955,8508,16646,5849,0,1338,0,1944,433
2010,67441,40789,26652,13437,15209,9406,630,967,0,1140,434
2010,67837,44646,23191,18536,16467,6846,0,0,0,2797,435
2010,55527,34650,20877,5398,18644,5260,0,780,3326,1242,437
2010,65699,45492,20207,24625,8768,6996,371,1532,0,3200,438
2010,72557,44520,28037,11773,14186,14083,0,1720,0,2758,439
2010,72359,42910,29449,10151,19503,8193,0,1387,0,3676,440
2010,67732,48911,18821,29200,4400,12000,511,1360,0,1440,442
2010,81903,51651,30252,9727,21938,17357,1238,1202,0,189,443
2010,86458,56480,29978,23906,5999,23730,1184,1518,0,143,444
2010,66422,45045,21377,17512,13927,9095,0,1476,0,3035,447
2010,68480,46516,21964,14516,17565,9800,0,1936,0,2699,448
2010,64484,45087,19397,24071,5834,12830,0,1259,0,1093,449
2010,70278,44927,25351,18133,13272,8816,523,3007,0,1176,451
2010,68062,41526,26536,13845,15433,7016,398,3188,0,1646,452
2010,72938,43894,29044,15050,13901,10829,904,2854,0,356,453
2010,58205,36671,21534,5932,14220,11435,361,1229,2673,821,454
2010,72641,47436,25205,22532,6041,14991,0,2507,0,1365,455
