N,age,constituency,ethnicity,sex
2596,Age 25 to 29,E14000710,white,female
2702,Age 30 to 34,E14000710,white,female
2995,Age 35 to 39,E14000710,white,female
3574,Age 40 to 44,E14000710,white,female
3544,Age 45 to 49,E14000710,white,female
3230,Age 50 to 54,E14000710,white,female
2939,Age 55 to 59,E14000710,white,female
3143,Age 60 to 64,E14000710,white,female
2468,Age 65 to 69,E14000710,white,female
2142,Age 70 to 74,E14000710,white,female
1829,Age 75 to 79,E14000710,white,female
1462,Age 80 to 84,E14000710,white,female
1528,Age 85 and over,E14000710,white,female
672,Age 15 and below,E14000710,mixed,male
62,Age 16 to 17,E14000710,mixed,male
61,Age 18 to 19,E14000710,mixed,male
87,Age 20 to 24,E14000710,mixed,male
74,Age 25 to 29,E14000710,mixed,male
60,Age 30 to 34,E14000710,mixed,male
41,Age 35 to 39,E14000710,mixed,male
39,Age 40 to 44,E14000710,mixed,male
40,Age 45 to 49,E14000710,mixed,male
12,Age 50 to 54,E14000710,mixed,male
13,Age 55 to 59,E14000710,mixed,male
7,Age 60 to 64,E14000710,mixed,male
12,Age 65 to 69,E14000710,mixed,male
5,Age 70 to 74,E14000710,mixed,male
2,Age 75 to 79,E14000710,mixed,male
3,Age 80 to 84,E14000710,mixed,male
1,Age 85 and over,E14000710,mixed,male
647,Age 15 and below,E14000710,mixed,female
56,Age 16 to 17,E14000710,mixed,female
45,Age 18 to 19,E14000710,mixed,female
76,Age 20 to 24,E14000710,mixed,female
90,Age 25 to 29,E14000710,mixed,female
58,Age 30 to 34,E14000710,mixed,female
71,Age 35 to 39,E14000710,mixed,female
52,Age 40 to 44,E14000710,mixed,female
42,Age 45 to 49,E14000710,mixed,female
33,Age 50 to 54,E14000710,mixed,female
18,Age 55 to 59,E14000710,mixed,female
8,Age 60 to 64,E14000710,mixed,female
9,Age 65 to 69,E14000710,mixed,female
3,Age 70 to 74,E14000710,mixed,female
3,Age 75 to 79,E14000710,mixed,female
1,Age 80 to 84,E14000710,mixed,female
2,Age 85 and over,E14000710,mixed,female
382,Age 15 and below,E14000710,asian,male
42,Age 16 to 17,E14000710,asian,male
48,Age 18 to 19,E14000710,asian,male
69,Age 20 to 24,E14000710,asian,male
104,Age 25 to 29,E14000710,asian,male
105,Age 30 to 34,E14000710,asian,male
135,Age 35 to 39,E14000710,asian,male
132,Age 40 to 44,E14000710,asian,male
96,Age 45 to 49,E14000710,asian,male
70,Age 50 to 54,E14000710,asian,male
70,Age 55 to 59,E14000710,asian,male
46,Age 60 to 64,E14000710,asian,male
40,Age 65 to 69,E14000710,asian,male
41,Age 70 to 74,E14000710,asian,male
19,Age 75 to 79,E14000710,asian,male
10,Age 80 to 84,E14000710,asian,male
9,Age 85 and over,E14000710,asian,male
400,Age 15 and below,E14000710,asian,female
45,Age 16 to 17,E14000710,asian,female
28,Age 18 to 19,E14000710,asian,female
74,Age 20 to 24,E14000710,asian,female
137,Age 25 to 29,E14000710,asian,female
196,Age 30 to 34,E14000710,asian,female
141,Age 35 to 39,E14000710,asian,female
135,Age 40 to 44,E14000710,asian,female
88,Age 45 to 49,E14000710,asian,female
99,Age 50 to 54,E14000710,asian,female
65,Age 55 to 59,E14000710,asian,female
70,Age 60 to 64,E14000710,asian,female
39,Age 65 to 69,E14000710,asian,female
35,Age 70 to 74,E14000710,asian,female
20,Age 75 to 79,E14000710,asian,female
15,Age 80 to 84,E14000710,asian,female
4,Age 85 and over,E14000710,asian,female
150,Age 15 and below,E14000710,black,male
25,Age 16 to 17,E14000710,black,male
14,Age 18 to 19,E14000710,black,male
32,Age 20 to 24,E14000710,black,male
48,Age 25 to 29,E14000710,black,male
63,Age 30 to 34,E14000710,black,male
59,Age 35 to 39,E14000710,black,male
67,Age 40 to 44,E14000710,black,male
114,Age 45 to 49,E14000710,black,male
65,Age 50 to 54,E14000710,black,male
50,Age 55 to 59,E14000710,black,male
16,Age 60 to 64,E14000710,black,male
19,Age 65 to 69,E14000710,black,male
25,Age 70 to 74,E14000710,black,male
23,Age 75 to 79,E14000710,black,male
12,Age 80 to 84,E14000710,black,male
8,Age 85 and over,E14000710,black,male
132,Age 15 and below,E14000710,black,female
19,Age 16 to 17,E14000710,black,female
19,Age 18 to 19,E14000710,black,female
54,Age 20 to 24,E14000710,black,female
50,Age 25 to 29,E14000710,black,female
47,Age 30 to 34,E14000710,black,female
55,Age 35 to 39,E14000710,black,female
82,Age 40 to 44,E14000710,black,female
127,Age 45 to 49,E14000710,black,female
61,Age 50 to 54,E14000710,black,female
41,Age 55 to 59,E14000710,black,female
24,Age 60 to 64,E14000710,black,female
27,Age 65 to 69,E14000710,black,female
31,Age 70 to 74,E14000710,black,female
17,Age 75 to 79,E14000710,black,female
11,Age 80 to 84,E14000710,black,female
3,Age 85 and over,E14000710,black,female
23,Age 15 and below,E14000710,other,male
4,Age 16 to 17,E14000710,other,male
2,Age 18 to 19,E14000710,other,male
14,Age 20 to 24,E14000710,other,male
12,Age 25 to 29,E14000710,other,male
18,Age 30 to 34,E14000710,other,male
18,Age 35 to 39,E14000710,other,male
17,Age 40 to 44,E14000710,other,male
4,Age 45 to 49,E14000710,other,male
8,Age 50 to 54,E14000710,other,male
8,Age 55 to 59,E14000710,other,male
8,Age 60 to 64,E14000710,other,male
5,Age 65 to 69,E14000710,other,male
1,Age 70 to 74,E14000710,other,male
0,Age 75 to 79,E14000710,other,male
0,Age 80 to 84,E14000710,other,male
1,Age 85 and over,E14000710,other,male
39,Age 15 and below,E14000710,other,female
3,Age 16 to 17,E14000710,other,female
1,Age 18 to 19,E14000710,other,female
6,Age 20 to 24,E14000710,other,female
7,Age 25 to 29,E14000710,other,female
13,Age 30 to 34,E14000710,other,female
12,Age 35 to 39,E14000710,other,female
6,Age 40 to 44,E14000710,other,female
8,Age 45 to 49,E14000710,other,female
7,Age 50 to 54,E14000710,other,female
5,Age 55 to 59,E14000710,other,female
0,Age 60 to 64,E14000710,other,female
2,Age 65 to 69,E14000710,other,female
3,Age 70 to 74,E14000710,other,female
4,Age 75 to 79,E14000710,other,female
0,Age 80 to 84,E14000710,other,female
0,Age 85 and over,E14000710,other,female
8596,Age 15 and below,E14000711,white,male
1232,Age 16 to 17,E14000711,white,male
1303,Age 18 to 19,E14000711,white,male
2859,Age 20 to 24,E14000711,white,male
2562,Age 25 to 29,E14000711,white,male
2559,Age 30 to 34,E14000711,white,male
2596,Age 35 to 39,E14000711,white,male
3176,Age 40 to 44,E14000711,white,male
3266,Age 45 to 49,E14000711,white,male
2934,Age 50 to 54,E14000711,white,male
2596,Age 55 to 59,E14000711,white,male
2780,Age 60 to 64,E14000711,white,male
2139,Age 65 to 69,E14000711,white,male
1534,Age 70 to 74,E14000711,white,male
1203,Age 75 to 79,E14000711,white,male
761,Age 80 to 84,E14000711,white,male
553,Age 85 and over,E14000711,white,male
8113,Age 15 and below,E14000711,white,female
1178,Age 16 to 17,E14000711,white,female
1208,Age 18 to 19,E14000711,white,female
2883,Age 20 to 24,E14000711,white,female
2658,Age 25 to 29,E14000711,white,female
2618,Age 30 to 34,E14000711,white,female
2674,Age 35 to 39,E14000711,white,female
3261,Age 40 to 44,E14000711,white,female
3310,Age 45 to 49,E14000711,white,female
3139,Age 50 to 54,E14000711,white,female
2615,Age 55 to 59,E14000711,white,female
2932,Age 60 to 64,E14000711,white,female
2163,Age 65 to 69,E14000711,white,female
1748,Age 70 to 74,E14000711,white,female
1439,Age 75 to 79,E14000711,white,female
1180,Age 80 to 84,E14000711,white,female
1241,Age 85 and over,E14000711,white,female
438,Age 15 and below,E14000711,mixed,male
45,Age 16 to 17,E14000711,mixed,male
52,Age 18 to 19,E14000711,mixed,male
78,Age 20 to 24,E14000711,mixed,male
49,Age 25 to 29,E14000711,mixed,male
50,Age 30 to 34,E14000711,mixed,male
32,Age 35 to 39,E14000711,mixed,male
42,Age 40 to 44,E14000711,mixed,male
33,Age 45 to 49,E14000711,mixed,male
27,Age 50 to 54,E14000711,mixed,male
23,Age 55 to 59,E14000711,mixed,male
15,Age 60 to 64,E14000711,mixed,male
12,Age 65 to 69,E14000711,mixed,male
15,Age 70 to 74,E14000711,mixed,male
6,Age 75 to 79,E14000711,mixed,male
4,Age 80 to 84,E14000711,mixed,male
2,Age 85 and over,E14000711,mixed,male
399,Age 15 and below,E14000711,mixed,female
49,Age 16 to 17,E14000711,mixed,female
60,Age 18 to 19,E14000711,mixed,female
86,Age 20 to 24,E14000711,mixed,female
52,Age 25 to 29,E14000711,mixed,female
38,Age 30 to 34,E14000711,mixed,female
41,Age 35 to 39,E14000711,mixed,female
43,Age 40 to 44,E14000711,mixed,female
37,Age 45 to 49,E14000711,mixed,female
34,Age 50 to 54,E14000711,mixed,female
23,Age 55 to 59,E14000711,mixed,female
15,Age 60 to 64,E14000711,mixed,female
8,Age 65 to 69,E14000711,mixed,female
15,Age 70 to 74,E14000711,mixed,female
8,Age 75 to 79,E14000711,mixed,female
8,Age 80 to 84,E14000711,mixed,female
7,Age 85 and over,E14000711,mixed,female
528,Age 15 and below,E14000711,asian,male
75,Age 16 to 17,E14000711,asian,male
122,Age 18 to 19,E14000711,asian,male
336,Age 20 to 24,E14000711,asian,male
286,Age 25 to 29,E14000711,asian,male
224,Age 30 to 34,E14000711,asian,male
198,Age 35 to 39,E14000711,asian,male
227,Age 40 to 44,E14000711,asian,male
173,Age 45 to 49,E14000711,asian,male
141,Age 50 to 54,E14000711,asian,male
128,Age 55 to 59,E14000711,asian,male
86,Age 60 to 64,E14000711,asian,male
56,Age 65 to 69,E14000711,asian,male
67,Age 70 to 74,E14000711,asian,male
40,Age 75 to 79,E14000711,asian,male
16,Age 80 to 84,E14000711,asian,male
7,Age 85 and over,E14000711,asian,male
489,Age 15 and below,E14000711,asian,female
58,Age 16 to 17,E14000711,asian,female
149,Age 18 to 19,E14000711,asian,female
274,Age 20 to 24,E14000711,asian,female
201,Age 25 to 29,E14000711,asian,female
205,Age 30 to 34,E14000711,asian,female
224,Age 35 to 39,E14000711,asian,female
205,Age 40 to 44,E14000711,asian,female
160,Age 45 to 49,E14000711,asian,female
158,Age 50 to 54,E14000711,asian,female
121,Age 55 to 59,E14000711,asian,female
98,Age 60 to 64,E14000711,asian,female
76,Age 65 to 69,E14000711,asian,female
48,Age 70 to 74,E14000711,asian,female
39,Age 75 to 79,E14000711,asian,female
19,Age 80 to 84,E14000711,asian,female
8,Age 85 and over,E14000711,asian,female
236,Age 15 and below,E14000711,black,male
31,Age 16 to 17,E14000711,black,male
69,Age 18 to 19,E14000711,black,male
118,Age 20 to 24,E14000711,black,male
109,Age 25 to 29,E14000711,black,male
117,Age 30 to 34,E14000711,black,male
77,Age 35 to 39,E14000711,black,male
92,Age 40 to 44,E14000711,black,male
79,Age 45 to 49,E14000711,black,male
49,Age 50 to 54,E14000711,black,male
33,Age 55 to 59,E14000711,black,male
18,Age 60 to 64,E14000711,black,male
13,Age 65 to 69,E14000711,black,male
12,Age 70 to 74,E14000711,black,male
4,Age 75 to 79,E14000711,black,male
3,Age 80 to 84,E14000711,black,male
0,Age 85 and over,E14000711,black,male
213,Age 15 and below,E14000711,black,female
27,Age 16 to 17,E14000711,black,female
155,Age 18 to 19,E14000711,black,female
97,Age 20 to 24,E14000711,black,female
60,Age 25 to 29,E14000711,black,female
74,Age 30 to 34,E14000711,black,female
87,Age 35 to 39,E14000711,black,female
94,Age 40 to 44,E14000711,black,female
72,Age 45 to 49,E14000711,black,female
56,Age 50 to 54,E14000711,black,female
34,Age 55 to 59,E14000711,black,female
18,Age 60 to 64,E14000711,black,female
16,Age 65 to 69,E14000711,black,female
17,Age 70 to 74,E14000711,black,female
8,Age 75 to 79,E14000711,black,female
6,Age 80 to 84,E14000711,black,female
2,Age 85 and over,E14000711,black,female
161,Age 15 and below,E14000711,other,male
11,Age 16 to 17,E14000711,other,male
22,Age 18 to 19,E14000711,other,male
54,Age 20 to 24,E14000711,other,male
47,Age 25 to 29,E14000711,other,male
42,Age 30 to 34,E14000711,other,male
24,Age 35 to 39,E14000711,other,male
24,Age 40 to 44,E14000711,other,male
20,Age 45 to 49,E14000711,other,male
14,Age 50 to 54,E14000711,other,male
15,Age 55 to 59,E14000711,other,male
6,Age 60 to 64,E14000711,other,male
3,Age 65 to 69,E14000711,other,male
3,Age 70 to 74,E14000711,other,male
0,Age 75 to 79,E14000711,other,male
4,Age 80 to 84,E14000711,other,male
0,Age 85 and over,E14000711,other,male
108,Age 15 and below,E14000711,other,female
7,Age 16 to 17,E14000711,other,female
22,Age 18 to 19,E14000711,other,female
19,Age 20 to 24,E14000711,other,female
22,Age 25 to 29,E14000711,other,female
29,Age 30 to 34,E14000711,other,female
40,Age 35 to 39,E14000711,other,female
11,Age 40 to 44,E14000711,other,female
25,Age 45 to 49,E14000711,other,female
14,Age 50 to 54,E14000711,other,female
9,Age 55 to 59,E14000711,other,female
5,Age 60 to 64,E14000711,other,female
2,Age 65 to 69,E14000711,other,female
7,Age 70 to 74,E14000711,other,female
2,Age 75 to 79,E14000711,other,female
3,Age 80 to 84,E14000711,other,female
0,Age 85 and over,E14000711,other,female
9489,Age 15 and below,E14000712,white,male
1330,Age 16 to 17,E14000712,white,male
1298,Age 18 to 19,E14000712,white,male
3399,Age 20 to 24,E14000712,white,male
3638,Age 25 to 29,E14000712,white,male
3367,Age 30 to 34,E14000712,white,male
3475,Age 35 to 39,E14000712,white,male
3869,Age 40 to 44,E14000712,white,male
3798,Age 45 to 49,E14000712,white,male
3363,Age 50 to 54,E14000712,white,male
2878,Age 55 to 59,E14000712,white,male
2856,Age 60 to 64,E14000712,white,male
2191,Age 65 to 69,E14000712,white,male
1743,Age 70 to 74,E14000712,white,male
1280,Age 75 to 79,E14000712,white,male
976,Age 80 to 84,E14000712,white,male
720,Age 85 and over,E14000712,white,male
9124,Age 15 and below,E14000712,white,female
1210,Age 16 to 17,E14000712,white,female
1184,Age 18 to 19,E14000712,white,female
3615,Age 20 to 24,E14000712,white,female
3718,Age 25 to 29,E14000712,white,female
3284,Age 30 to 34,E14000712,white,female
3260,Age 35 to 39,E14000712,white,female
3814,Age 40 to 44,E14000712,white,female
3892,Age 45 to 49,E14000712,white,female
3409,Age 50 to 54,E14000712,white,female
2817,Age 55 to 59,E14000712,white,female
2934,Age 60 to 64,E14000712,white,female
2445,Age 65 to 69,E14000712,white,female
1831,Age 70 to 74,E14000712,white,female
1595,Age 75 to 79,E14000712,white,female
1408,Age 80 to 84,E14000712,white,female
1551,Age 85 and over,E14000712,white,female
876,Age 15 and below,E14000712,mixed,male
93,Age 16 to 17,E14000712,mixed,male
81,Age 18 to 19,E14000712,mixed,male
167,Age 20 to 24,E14000712,mixed,male
121,Age 25 to 29,E14000712,mixed,male
80,Age 30 to 34,E14000712,mixed,male
76,Age 35 to 39,E14000712,mixed,male
66,Age 40 to 44,E14000712,mixed,male
52,Age 45 to 49,E14000712,mixed,male
34,Age 50 to 54,E14000712,mixed,male
19,Age 55 to 59,E14000712,mixed,male
18,Age 60 to 64,E14000712,mixed,male
13,Age 65 to 69,E14000712,mixed,male
8,Age 70 to 74,E14000712,mixed,male
7,Age 75 to 79,E14000712,mixed,male
4,Age 80 to 84,E14000712,mixed,male
1,Age 85 and over,E14000712,mixed,male
860,Age 15 and below,E14000712,mixed,female
93,Age 16 to 17,E14000712,mixed,female
74,Age 18 to 19,E14000712,mixed,female
191,Age 20 to 24,E14000712,mixed,female
112,Age 25 to 29,E14000712,mixed,female
90,Age 30 to 34,E14000712,mixed,female
62,Age 35 to 39,E14000712,mixed,female
66,Age 40 to 44,E14000712,mixed,female
69,Age 45 to 49,E14000712,mixed,female
34,Age 50 to 54,E14000712,mixed,female
25,Age 55 to 59,E14000712,mixed,female
14,Age 60 to 64,E14000712,mixed,female
16,Age 65 to 69,E14000712,mixed,female
9,Age 70 to 74,E14000712,mixed,female
6,Age 75 to 79,E14000712,mixed,female
0,Age 80 to 84,E14000712,mixed,female
3,Age 85 and over,E14000712,mixed,female
819,Age 15 and below,E14000712,asian,male
78,Age 16 to 17,E14000712,asian,male
62,Age 18 to 19,E14000712,asian,male
167,Age 20 to 24,E14000712,asian,male
207,Age 25 to 29,E14000712,asian,male
292,Age 30 to 34,E14000712,asian,male
311,Age 35 to 39,E14000712,asian,male
230,Age 40 to 44,E14000712,asian,male
135,Age 45 to 49,E14000712,asian,male
135,Age 50 to 54,E14000712,asian,male
121,Age 55 to 59,E14000712,asian,male
82,Age 60 to 64,E14000712,asian,male
57,Age 65 to 69,E14000712,asian,male
55,Age 70 to 74,E14000712,asian,male
39,Age 75 to 79,E14000712,asian,male
15,Age 80 to 84,E14000712,asian,male
8,Age 85 and over,E14000712,asian,male
784,Age 15 and below,E14000712,asian,female
81,Age 16 to 17,E14000712,asian,female
56,Age 18 to 19,E14000712,asian,female
194,Age 20 to 24,E14000712,asian,female
276,Age 25 to 29,E14000712,asian,female
305,Age 30 to 34,E14000712,asian,female
263,Age 35 to 39,E14000712,asian,female
208,Age 40 to 44,E14000712,asian,female
144,Age 45 to 49,E14000712,asian,female
164,Age 50 to 54,E14000712,asian,female
120,Age 55 to 59,E14000712,asian,female
85,Age 60 to 64,E14000712,asian,female
61,Age 65 to 69,E14000712,asian,female
51,Age 70 to 74,E14000712,asian,female
27,Age 75 to 79,E14000712,asian,female
22,Age 80 to 84,E14000712,asian,female
14,Age 85 and over,E14000712,asian,female
376,Age 15 and below,E14000712,black,male
32,Age 16 to 17,E14000712,black,male
45,Age 18 to 19,E14000712,black,male
91,Age 20 to 24,E14000712,black,male
112,Age 25 to 29,E14000712,black,male
154,Age 30 to 34,E14000712,black,male
127,Age 35 to 39,E14000712,black,male
179,Age 40 to 44,E14000712,black,male
191,Age 45 to 49,E14000712,black,male
125,Age 50 to 54,E14000712,black,male
49,Age 55 to 59,E14000712,black,male
27,Age 60 to 64,E14000712,black,male
33,Age 65 to 69,E14000712,black,male
69,Age 70 to 74,E14000712,black,male
57,Age 75 to 79,E14000712,black,male
34,Age 80 to 84,E14000712,black,male
18,Age 85 and over,E14000712,black,male
341,Age 15 and below,E14000712,black,female
45,Age 16 to 17,E14000712,black,female
38,Age 18 to 19,E14000712,black,female
103,Age 20 to 24,E14000712,black,female
129,Age 25 to 29,E14000712,black,female
144,Age 30 to 34,E14000712,black,female
119,Age 35 to 39,E14000712,black,female
154,Age 40 to 44,E14000712,black,female
184,Age 45 to 49,E14000712,black,female
109,Age 50 to 54,E14000712,black,female
57,Age 55 to 59,E14000712,black,female
43,Age 60 to 64,E14000712,black,female
50,Age 65 to 69,E14000712,black,female
76,Age 70 to 74,E14000712,black,female
64,Age 75 to 79,E14000712,black,female
37,Age 80 to 84,E14000712,black,female
15,Age 85 and over,E14000712,black,female
31,Age 15 and below,E14000712,other,male
6,Age 16 to 17,E14000712,other,male
6,Age 18 to 19,E14000712,other,male
20,Age 20 to 24,E14000712,other,male
16,Age 25 to 29,E14000712,other,male
17,Age 30 to 34,E14000712,other,male
21,Age 35 to 39,E14000712,other,male
13,Age 40 to 44,E14000712,other,male
9,Age 45 to 49,E14000712,other,male
10,Age 50 to 54,E14000712,other,male
8,Age 55 to 59,E14000712,other,male
3,Age 60 to 64,E14000712,other,male
5,Age 65 to 69,E14000712,other,male
3,Age 70 to 74,E14000712,other,male
2,Age 75 to 79,E14000712,other,male
0,Age 80 to 84,E14000712,other,male
1,Age 85 and over,E14000712,other,male
36,Age 15 and below,E14000712,other,female
3,Age 16 to 17,E14000712,other,female
7,Age 18 to 19,E14000712,other,female
11,Age 20 to 24,E14000712,other,female
11,Age 25 to 29,E14000712,other,female
16,Age 30 to 34,E14000712,other,female
17,Age 35 to 39,E14000712,other,female
7,Age 40 to 44,E14000712,other,female
4,Age 45 to 49,E14000712,other,female
12,Age 50 to 54,E14000712,other,female
4,Age 55 to 59,E14000712,other,female
3,Age 60 to 64,E14000712,other,female
4,Age 65 to 69,E14000712,other,female
3,Age 70 to 74,E14000712,other,female
0,Age 75 to 79,E14000712,other,female
0,Age 80 to 84,E14000712,other,female
2,Age 85 and over,E14000712,other,female
8910,Age 15 and below,E14000713,white,male
1194,Age 16 to 17,E14000713,white,male
1088,Age 18 to 19,E14000713,white,male
2715,Age 20 to 24,E14000713,white,male
2801,Age 25 to 29,E14000713,white,male
2552,Age 30 to 34,E14000713,white,male
2809,Age 35 to 39,E14000713,white,male
3249,Age 40 to 44,E14000713,white,male
3483,Age 45 to 49,E14000713,white,male
3341,Age 50 to 54,E14000713,white,male
2678,Age 55 to 59,E14000713,white,male
3074,Age 60 to 64,E14000713,white,male
2358,Age 65 to 69,E14000713,white,male
1938,Age 70 to 74,E14000713,white,male
1592,Age 75 to 79,E14000713,white,male
1107,Age 80 to 84,E14000713,white,male
861,Age 85 and over,E14000713,white,male
8380,Age 15 and below,E14000713,white,female
1170,Age 16 to 17,E14000713,white,female
1023,Age 18 to 19,E14000713,white,female
2654,Age 20 to 24,E14000713,white,female
2715,Age 25 to 29,E14000713,white,female
2525,Age 30 to 34,E14000713,white,female
2998,Age 35 to 39,E14000713,white,female
3413,Age 40 to 44,E14000713,white,female
3610,Age 45 to 49,E14000713,white,female
3227,Age 50 to 54,E14000713,white,female
2788,Age 55 to 59,E14000713,white,female
3202,Age 60 to 64,E14000713,white,female
2597,Age 65 to 69,E14000713,white,female
2137,Age 70 to 74,E14000713,white,female
2030,Age 75 to 79,E14000713,white,female
1543,Age 80 to 84,E14000713,white,female
1707,Age 85 and over,E14000713,white,female
306,Age 15 and below,E14000713,mixed,male
21,Age 16 to 17,E14000713,mixed,male
19,Age 18 to 19,E14000713,mixed,male
57,Age 20 to 24,E14000713,mixed,male
51,Age 25 to 29,E14000713,mixed,male
31,Age 30 to 34,E14000713,mixed,male
34,Age 35 to 39,E14000713,mixed,male
18,Age 40 to 44,E14000713,mixed,male
17,Age 45 to 49,E14000713,mixed,male
17,Age 50 to 54,E14000713,mixed,male
6,Age 55 to 59,E14000713,mixed,male
12,Age 60 to 64,E14000713,mixed,male
6,Age 65 to 69,E14000713,mixed,male
2,Age 70 to 74,E14000713,mixed,male
5,Age 75 to 79,E14000713,mixed,male
3,Age 80 to 84,E14000713,mixed,male
1,Age 85 and over,E14000713,mixed,male
304,Age 15 and below,E14000713,mixed,female
11,Age 16 to 17,E14000713,mixed,female
23,Age 18 to 19,E14000713,mixed,female
37,Age 20 to 24,E14000713,mixed,female
54,Age 25 to 29,E14000713,mixed,female
22,Age 30 to 34,E14000713,mixed,female
28,Age 35 to 39,E14000713,mixed,female
26,Age 40 to 44,E14000713,mixed,female
26,Age 45 to 49,E14000713,mixed,female
15,Age 50 to 54,E14000713,mixed,female
12,Age 55 to 59,E14000713,mixed,female
14,Age 60 to 64,E14000713,mixed,female
7,Age 65 to 69,E14000713,mixed,female
5,Age 70 to 74,E14000713,mixed,female
3,Age 75 to 79,E14000713,mixed,female
4,Age 80 to 84,E14000713,mixed,female
5,Age 85 and over,E14000713,mixed,female
87,Age 15 and below,E14000713,asian,male
17,Age 16 to 17,E14000713,asian,male
8,Age 18 to 19,E14000713,asian,male
49,Age 20 to 24,E14000713,asian,male
69,Age 25 to 29,E14000713,asian,male
57,Age 30 to 34,E14000713,asian,male
82,Age 35 to 39,E14000713,asian,male
34,Age 40 to 44,E14000713,asian,male
34,Age 45 to 49,E14000713,asian,male
64,Age 50 to 54,E14000713,asian,male
31,Age 55 to 59,E14000713,asian,male
19,Age 60 to 64,E14000713,asian,male
5,Age 65 to 69,E14000713,asian,male
4,Age 70 to 74,E14000713,asian,male
3,Age 75 to 79,E14000713,asian,male
3,Age 80 to 84,E14000713,asian,male
2,Age 85 and over,E14000713,asian,male
118,Age 15 and below,E14000713,asian,female
17,Age 16 to 17,E14000713,asian,female
4,Age 18 to 19,E14000713,asian,female
26,Age 20 to 24,E14000713,asian,female
82,Age 25 to 29,E14000713,asian,female
83,Age 30 to 34,E14000713,asian,female
67,Age 35 to 39,E14000713,asian,female
65,Age 40 to 44,E14000713,asian,female
42,Age 45 to 49,E14000713,asian,female
34,Age 50 to 54,E14000713,asian,female
28,Age 55 to 59,E14000713,asian,female
18,Age 60 to 64,E14000713,asian,female
13,Age 65 to 69,E14000713,asian,female
10,Age 70 to 74,E14000713,asian,female
6,Age 75 to 79,E14000713,asian,female
5,Age 80 to 84,E14000713,asian,female
2,Age 85 and over,E14000713,asian,female
106,Age 15 and below,E14000713,black,male
4,Age 16 to 17,E14000713,black,male
2,Age 18 to 19,E14000713,black,male
11,Age 20 to 24,E14000713,black,male
46,Age 25 to 29,E14000713,black,male
63,Age 30 to 34,E14000713,black,male
45,Age 35 to 39,E14000713,black,male
22,Age 40 to 44,E14000713,black,male
15,Age 45 to 49,E14000713,black,male
10,Age 50 to 54,E14000713,black,male
8,Age 55 to 59,E14000713,black,male
4,Age 60 to 64,E14000713,black,male
3,Age 65 to 69,E14000713,black,male
2,Age 70 to 74,E14000713,black,male
3,Age 75 to 79,E14000713,black,male
1,Age 80 to 84,E14000713,black,male
0,Age 85 and over,E14000713,black,male
82,Age 15 and below,E14000713,black,female
8,Age 16 to 17,E14000713,black,female
7,Age 18 to 19,E14000713,black,female
14,Age 20 to 24,E14000713,black,female
35,Age 25 to 29,E14000713,black,female
41,Age 30 to 34,E14000713,black,female
29,Age 35 to 39,E14000713,black,female
18,Age 40 to 44,E14000713,black,female
7,Age 45 to 49,E14000713,black,female
7,Age 50 to 54,E14000713,black,female
7,Age 55 to 59,E14000713,black,female
7,Age 60 to 64,E14000713,black,female
3,Age 65 to 69,E14000713,black,female
2,Age 70 to 74,E14000713,black,female
0,Age 75 to 79,E14000713,black,female
2,Age 80 to 84,E14000713,black,female
1,Age 85 and over,E14000713,black,female
35,Age 15 and below,E14000713,other,male
1,Age 16 to 17,E14000713,other,male
7,Age 18 to 19,E14000713,other,male
9,Age 20 to 24,E14000713,other,male
14,Age 25 to 29,E14000713,other,male
21,Age 30 to 34,E14000713,other,male
13,Age 35 to 39,E14000713,other,male
6,Age 40 to 44,E14000713,other,male
8,Age 45 to 49,E14000713,other,male
1,Age 50 to 54,E14000713,other,male
5,Age 55 to 59,E14000713,other,male
2,Age 60 to 64,E14000713,other,male
4,Age 65 to 69,E14000713,other,male
1,Age 70 to 74,E14000713,other,male
2,Age 75 to 79,E14000713,other,male
0,Age 80 to 84,E14000713,other,male
0,Age 85 and over,E14000713,other,male
23,Age 15 and below,E14000713,other,female
1,Age 16 to 17,E14000713,other,female
0,Age 18 to 19,E14000713,other,female
2,Age 20 to 24,E14000713,other,female
11,Age 25 to 29,E14000713,other,female
14,Age 30 to 34,E14000713,other,female
11,Age 35 to 39,E14000713,other,female
6,Age 40 to 44,E14000713,other,female
8,Age 45 to 49,E14000713,other,female
6,Age 50 to 54,E14000713,other,female
2,Age 55 to 59,E14000713,other,female
3,Age 60 to 64,E14000713,other,female
3,Age 65 to 69,E14000713,other,female
2,Age 70 to 74,E14000713,other,female
0,Age 75 to 79,E14000713,other,female
0,Age 80 to 84,E14000713,other,female
4,Age 85 and over,E14000713,other,female
9420,Age 15 and below,E14000714,white,male
1330,Age 16 to 17,E14000714,white,male
1116,Age 18 to 19,E14000714,white,male
2405,Age 20 to 24,E14000714,white,male
2634,Age 25 to 29,E14000714,white,male
2687,Age 30 to 34,E14000714,white,male
3094,Age 35 to 39,E14000714,white,male
3769,Age 40 to 44,E14000714,white,male
3856,Age 45 to 49,E14000714,white,male
3470,Age 50 to 54,E14000714,white,male
3031,Age 55 to 59,E14000714,white,male
3545,Age 60 to 64,E14000714,white,male
2850,Age 65 to 69,E14000714,white,male
2140,Age 70 to 74,E14000714,white,male
1600,Age 75 to 79,E14000714,white,male
1121,Age 80 to 84,E14000714,white,male
944,Age 85 and over,E14000714,white,male
