N,age,constituency,ethnicity,sex
7,Age 75 to 79,E14000530,black,female
1,Age 80 to 84,E14000530,black,female
3,Age 85 and over,E14000530,black,female
60,Age 15 and below,E14000530,other,male
13,Age 16 to 17,E14000530,other,male
8,Age 18 to 19,E14000530,other,male
38,Age 20 to 24,E14000530,other,male
36,Age 25 to 29,E14000530,other,male
53,Age 30 to 34,E14000530,other,male
49,Age 35 to 39,E14000530,other,male
20,Age 40 to 44,E14000530,other,male
25,Age 45 to 49,E14000530,other,male
13,Age 50 to 54,E14000530,other,male
17,Age 55 to 59,E14000530,other,male
13,Age 60 to 64,E14000530,other,male
11,Age 65 to 69,E14000530,other,male
2,Age 70 to 74,E14000530,other,male
4,Age 75 to 79,E14000530,other,male
2,Age 80 to 84,E14000530,other,male
0,Age 85 and over,E14000530,other,male
57,Age 15 and below,E14000530,other,female
10,Age 16 to 17,E14000530,other,female
13,Age 18 to 19,E14000530,other,female
36,Age 20 to 24,E14000530,other,female
35,Age 25 to 29,E14000530,other,female
30,Age 30 to 34,E14000530,other,female
37,Age 35 to 39,E14000530,other,female
26,Age 40 to 44,E14000530,other,female
17,Age 45 to 49,E14000530,other,female
11,Age 50 to 54,E14000530,other,female
9,Age 55 to 59,E14000530,other,female
6,Age 60 to 64,E14000530,other,female
6,Age 65 to 69,E14000530,other,female
4,Age 70 to 74,E14000530,other,female
1,Age 75 to 79,E14000530,other,female
0,Age 80 to 84,E14000530,other,female
1,Age 85 and over,E14000530,other,female
6222,Age 15 and below,E14000531,white,male
931,Age 16 to 17,E14000531,white,male
815,Age 18 to 19,E14000531,white,male
1887,Age 20 to 24,E14000531,white,male
1743,Age 25 to 29,E14000531,white,male
1631,Age 30 to 34,E14000531,white,male
2047,Age 35 to 39,E14000531,white,male
2710,Age 40 to 44,E14000531,white,male
2811,Age 45 to 49,E14000531,white,male
2427,Age 50 to 54,E14000531,white,male
2088,Age 55 to 59,E14000531,white,male
2465,Age 60 to 64,E14000531,white,male
2222,Age 65 to 69,E14000531,white,male
1932,Age 70 to 74,E14000531,white,male
1456,Age 75 to 79,E14000531,white,male
990,Age 80 to 84,E14000531,white,male
644,Age 85 and over,E14000531,white,male
5861,Age 15 and below,E14000531,white,female
869,Age 16 to 17,E14000531,white,female
745,Age 18 to 19,E14000531,white,female
1691,Age 20 to 24,E14000531,white,female
1737,Age 25 to 29,E14000531,white,female
1646,Age 30 to 34,E14000531,white,female
2150,Age 35 to 39,E14000531,white,female
2783,Age 40 to 44,E14000531,white,female
2837,Age 45 to 49,E14000531,white,female
2546,Age 50 to 54,E14000531,white,female
2058,Age 55 to 59,E14000531,white,female
2578,Age 60 to 64,E14000531,white,female
2561,Age 65 to 69,E14000531,white,female
2189,Age 70 to 74,E14000531,white,female
1809,Age 75 to 79,E14000531,white,female
1374,Age 80 to 84,E14000531,white,female
1230,Age 85 and over,E14000531,white,female
241,Age 15 and below,E14000531,mixed,male
31,Age 16 to 17,E14000531,mixed,male
26,Age 18 to 19,E14000531,mixed,male
62,Age 20 to 24,E14000531,mixed,male
41,Age 25 to 29,E14000531,mixed,male
21,Age 30 to 34,E14000531,mixed,male
31,Age 35 to 39,E14000531,mixed,male
28,Age 40 to 44,E14000531,mixed,male
25,Age 45 to 49,E14000531,mixed,male
23,Age 50 to 54,E14000531,mixed,male
12,Age 55 to 59,E14000531,mixed,male
3,Age 60 to 64,E14000531,mixed,male
5,Age 65 to 69,E14000531,mixed,male
3,Age 70 to 74,E14000531,mixed,male
1,Age 75 to 79,E14000531,mixed,male
4,Age 80 to 84,E14000531,mixed,male
0,Age 85 and over,E14000531,mixed,male
311,Age 15 and below,E14000531,mixed,female
40,Age 16 to 17,E14000531,mixed,female
20,Age 18 to 19,E14000531,mixed,female
62,Age 20 to 24,E14000531,mixed,female
36,Age 25 to 29,E14000531,mixed,female
37,Age 30 to 34,E14000531,mixed,female
33,Age 35 to 39,E14000531,mixed,female
31,Age 40 to 44,E14000531,mixed,female
19,Age 45 to 49,E14000531,mixed,female
20,Age 50 to 54,E14000531,mixed,female
9,Age 55 to 59,E14000531,mixed,female
7,Age 60 to 64,E14000531,mixed,female
4,Age 65 to 69,E14000531,mixed,female
3,Age 70 to 74,E14000531,mixed,female
1,Age 75 to 79,E14000531,mixed,female
4,Age 80 to 84,E14000531,mixed,female
1,Age 85 and over,E14000531,mixed,female
424,Age 15 and below,E14000531,asian,male
55,Age 16 to 17,E14000531,asian,male
34,Age 18 to 19,E14000531,asian,male
80,Age 20 to 24,E14000531,asian,male
106,Age 25 to 29,E14000531,asian,male
171,Age 30 to 34,E14000531,asian,male
158,Age 35 to 39,E14000531,asian,male
156,Age 40 to 44,E14000531,asian,male
103,Age 45 to 49,E14000531,asian,male
86,Age 50 to 54,E14000531,asian,male
77,Age 55 to 59,E14000531,asian,male
48,Age 60 to 64,E14000531,asian,male
30,Age 65 to 69,E14000531,asian,male
20,Age 70 to 74,E14000531,asian,male
12,Age 75 to 79,E14000531,asian,male
10,Age 80 to 84,E14000531,asian,male
6,Age 85 and over,E14000531,asian,male
349,Age 15 and below,E14000531,asian,female
36,Age 16 to 17,E14000531,asian,female
43,Age 18 to 19,E14000531,asian,female
90,Age 20 to 24,E14000531,asian,female
141,Age 25 to 29,E14000531,asian,female
182,Age 30 to 34,E14000531,asian,female
153,Age 35 to 39,E14000531,asian,female
149,Age 40 to 44,E14000531,asian,female
89,Age 45 to 49,E14000531,asian,female
89,Age 50 to 54,E14000531,asian,female
79,Age 55 to 59,E14000531,asian,female
49,Age 60 to 64,E14000531,asian,female
32,Age 65 to 69,E14000531,asian,female
15,Age 70 to 74,E14000531,asian,female
17,Age 75 to 79,E14000531,asian,female
10,Age 80 to 84,E14000531,asian,female
8,Age 85 and over,E14000531,asian,female
75,Age 15 and below,E14000531,black,male
17,Age 16 to 17,E14000531,black,male
16,Age 18 to 19,E14000531,black,male
13,Age 20 to 24,E14000531,black,male
31,Age 25 to 29,E14000531,black,male
22,Age 30 to 34,E14000531,black,male
