PA_ID,log.earn,nonwhite,relig.christian,relig.refused,relig.none,relig.other,age,private,owns,female,married,education,socgrd,log.density
1,6.0764947963,2.4133186155,56.8233710855,7.1159632861,34.6846506283,1.3760150001,41,0.35401171649999996,0.6817184978,0.5123312113,0.4570914367,1.6149683538,1.0965850293000001,1.2656925056000001
2,6.1550703857,2.1625454223,64.4562616325,7.81529735,26.381281574000003,1.3471594434,46,0.3616774057,0.7124850158,0.5166533723,0.4766874406,2.0512667198,1.4058787508000001,-0.0986982925
7,6.2919394414,14.4666191952,58.1416831855,6.9850464772,26.536248340100002,8.3370219973,36,0.48027163380000004,0.6641574986,0.5010103732,0.5006080454999999,2.0978126130000003,1.6030090775,2.9762453551999997
8,6.104346704199999,6.8711512978,70.17434458390001,6.105957855900001,19.7222438746,3.9974536857,44,0.40286327619999995,0.7825092772,0.5107049133,0.5287274679,1.7887540507,1.4664669818,2.8619079352999997
9,6.5418954255,9.5661086437,65.2690209233,6.4415939373,20.7576275222,7.5317576172,41,0.4528495125,0.7767484995,0.5109378721,0.5295063265,2.5253064905000002,1.9470744406,2.9425219227999997
10,6.1255582816,1.7829222471000001,65.5705714805,7.1316889885000005,26.2881037513,1.0096357796,40,0.46988403100000004,0.7418655626,0.5051936246000001,0.49676365710000003,1.9383149999,1.3402621056,1.6598629284
11,6.2027379259,1.6112331168,60.0161578462,7.1708976708000005,31.7160315419,1.0969129411,42,0.43900857909999996,0.7402560129000001,0.5078342797,0.49148988990000003,1.7422797555,1.2803110898999999,1.9531699986000002
16,6.2344107257,5.6411272349,55.625443679499995,8.6127482542,32.4864213428,3.2753867235,37,0.3249638438,0.6298486693,0.5094679147,0.39418287,2.2226962278,1.4513515044999998,0.32672021
18,6.3146344125,2.2515344361,65.4836686646,7.9605621639,25.0372685495,1.518500622,47,0.4285305355,0.7697027984999999,0.519981083,0.5644998693,2.3079085069,1.8336088981999998,0.40848028490000005
19,6.050912005800001,2.0428989148,58.2069195596,6.8175128049,33.7578742862,1.2176933493000002,41,0.41716615009999997,0.7088410398999999,0.5082814922,0.48587175439999997,1.5800968425,1.1575719254,2.2472553645
20,6.206374293500001,6.5043385869,62.7279971666,7.6279440411,26.3803789623,3.26367983,40,0.4546350533,0.6984122734,0.5147777581,0.5125942186,2.0241005032,1.5114563106999999,0.8075155618000001
21,6.030925616,12.6486450643,65.04243844220001,5.6253039211,20.1273153265,9.2049423102,39,0.4215472118,0.6619817131,0.5082445515,0.43270274350000004,1.6497695184999999,1.1925920854,3.4831635761
22,6.2559419619000005,14.2057078323,59.123182167399996,7.011210160399999,25.8888981458,7.9767095263,38,0.46038115520000006,0.7151322473,0.5048737816,0.5127344198,2.2242556443,1.6812939268,1.7620218711000002
26,6.2698535726,7.583440743500001,63.4590597653,6.8550301879,25.7445220813,3.9413879655,38,0.4889572715,0.6982709333,0.5054185605,0.5137780342,2.1211606799,1.5718364518,0.9334493042
28,6.246687991900001,44.9960347633,53.4546614015,6.3738114509,18.1959399246,21.9755872229,31,0.3946443907,0.4603671786,0.5109841145,0.419794118,1.8146871918,1.1983402042,4.0312241072
29,6.144185634099999,2.68800896,67.6528921763,6.6056886856,24.3822479408,1.3591711972,41,0.395389082,0.6648520265,0.506498355,0.45787388619999997,1.6611984165,1.1748443337,2.8748229933
30,6.1639461836,1.8731892872,68.6522767985,6.291881372100001,24.2707388814,0.785102948,41,0.3888722256,0.6515460699,0.5104938407999999,0.4686426351,1.5553496328999998,1.12474488,2.3434037471
31,6.3088267737,1.5716119154,70.2001666179,6.646702542000001,22.1083916871,1.0447391529999999,43,0.3969594365,0.7664474433,0.5062819445000001,0.4854159018,1.965859496,1.3238552177,0.8038259659
32,6.3231036946,7.2920267151,61.0199917491,7.021084438099999,29.3253202805,2.6336035323,39,0.4486214485,0.687814895,0.5182579414999999,0.4857799644,1.8170962212000001,1.4924861395,2.7007101399
33,6.3875524934,7.0753256404,61.2854282352,6.2919307227,30.0518134715,2.3708275705,39,0.45976641890000003,0.6914424464,0.5113948352000001,0.48001183340000003,1.654102115,1.3203216619,1.8945169447999999
34,6.3649228591,9.6383199378,56.4391273751,7.1206340976,32.071558205900004,4.368680321499999,36,0.5400656949,0.6722053957999999,0.5055465017,0.4899879598,2.1854715209999998,1.6674946969,2.9085857618
35,6.158037746900001,2.5787993218,70.80668156600001,6.812577065399999,20.9733353884,1.4074059803,43,0.4065034924,0.7170429105,0.5050959464,0.5045841404,1.7766058498,1.2532544002,0.7703597399
36,6.2848801513999994,8.3469316558,51.1518248011,8.645156934,36.9416716371,3.2613466277999996,36,0.3621236028,0.5830079168,0.5100665099,0.3743884167,2.6244747972,1.8253063551,3.4335914422000005
37,6.194609451900001,22.2050250697,53.607540385,5.954642767799999,20.5089945227,19.9288223246,37,0.4337856478,0.7217500023000001,0.5064180390999999,0.499145279,1.7675511091999998,1.274602648,2.974910149
38,6.519737084500001,26.516038947,55.055337413000004,8.044307415499999,28.431528736999997,8.4688264345,32,0.5915453992,0.42715889100000004,0.5110721682,0.2910861506,3.0503006448,2.0914259884999997,4.5761981251999995
39,6.4523643621,12.447301960999999,63.0132713534,6.9757614175,21.7513356878,8.2596315413,43,0.48006891590000006,0.7682683295,0.5160835924,0.5485882149,2.4238838296000003,1.9792803791999998,1.7297695838999998
40,6.5552146341999995,13.3086621232,62.04847662939999,7.6139798416,25.0117801198,5.3257634092,42,0.4372054849,0.7966033111,0.5183022836,0.5056957279,2.4050004446,1.9534954755,3.2278269969999998
41,6.2613008264,25.5733876873,56.123721132700005,6.568974729400001,23.2244276018,14.082876536099999,36,0.4093545555,0.6136828878,0.5072427918,0.4456028395,2.0361574005,1.4103506697,3.3937864054
42,6.4860083383000005,6.4022532735,63.9476233757,6.6329741013,26.3770837287,3.0423187943,41,0.46065698060000004,0.7677154195,0.5012634711999999,0.5543195913000001,2.2777978853,1.7989907484999998,0.7831757722
43,6.385868707899999,5.9396783364,62.691304178500005,6.7321546789,27.9012033179,2.6753378247,41,0.4701334695,0.7699302551,0.5088593793,0.5525004254,2.2301293431,1.7440409534,0.6378043258
44,6.2753268335,7.5447658065,61.2225696112,6.8988836726,29.004910272399997,2.8736364438,40,0.4742336007,0.7328702926999999,0.5072379963,0.4963190858,2.0289790288,1.5606812897,2.086755499
49,6.4509442435,41.5469246455,51.2622310744,8.0349662509,27.7398397117,12.962962962999999,30,0.4908343662,0.2402291628,0.4942934826,0.2472437863,2.6636870355,1.7768909550999998,4.7027512434
50,6.2247564295,1.347103727,70.43503526239999,6.936263504099999,21.6223355081,1.0063657255,47,0.3804371653,0.64728698,0.506299691,0.5373438135999999,2.016700165,1.3981065825,-1.1649396929
52,6.4310089689,53.057414779300004,24.9866375218,15.3449114885,21.154996769100002,38.5134542205,28,0.4409508977,0.22949475739999997,0.4889550143,0.2832711351,2.4397921694,1.6286164187,4.9175420788999995
53,6.2217823022,1.5017844969,67.3026025584,7.5249629065,24.212014275999998,0.9604202591,46,0.3720569304,0.7763396403,0.5114488511,0.5491163272,2.0949651297,1.5778266757,0.18133599379999998
54,6.1523070722,2.815531089,64.5904275914,7.9948772424,25.647542367,1.7671527991999998,48,0.35781900340000006,0.7624209851,0.5239608049,0.5217386134,2.0289602667,1.5955222225999999,0.6405278861
55,6.4463545385000005,15.8853929515,61.4515982151,7.069028321599999,25.1901010837,6.289272379600001,39,0.43415531409999997,0.7498743202,0.5176668792,0.47817152380000005,1.8593184674,1.5038135262999999,3.6491562508
56,6.104346704199999,4.1770812223,68.26656758770001,6.686707649400001,23.0201085366,2.0266162264,39,0.34646511560000004,0.5792975169,0.5176203022,0.3657335079,1.8094875214,1.1422736333,3.4569067027
57,6.2540211008,31.329218788800002,52.403487697799996,6.9464004639,24.742150608899998,15.907961229400001,33,0.32521582600000004,0.5522366681,0.5134309502000001,0.3660484515,2.2796976965,1.5890930491,3.5298428047000003
58,6.0944722972,26.918120640599998,57.5303237947,6.950438749,24.8726707439,10.6465667123,35,0.3730994152,0.5429165029999999,0.5164147353999999,0.3528352717,1.6093896319999998,1.1499106915000001,3.791948058
59,6.2247564295,64.4723219216,26.6211692435,6.0705411375,12.6673799006,54.6409097184,31,0.3316776659,0.6416397373,0.49610022090000006,0.4701979854,1.9615119067,1.3582103881999998,4.0740720824
60,6.017619504600001,64.3345551373,29.3668534986,5.941090419,11.1901905028,53.5018655796,28,0.31158307539999996,0.5898731251,0.5112263515,0.46331120509999996,1.3431621235,0.8676329121999999,4.0835798824000005
61,6.0858652225,72.6677874863,32.5329734082,7.0477453372,15.801188700199999,44.61809255439999,27,0.3297888798,0.3623194484,0.48452558549999997,0.31048175,1.9968003657,1.2545288987,3.8956136599
62,6.1127968323,14.156691842,60.778726508999995,6.7549446866,28.5342430636,3.9320857408,37,0.34850986079999996,0.5919608057,0.5177673482999999,0.3978577279,1.7535707234,1.2501311283,3.7248821918
63,6.0826754272,60.3268279018,41.658418153,6.445046222799999,12.673452236400001,39.2230833878,32,0.3662943295,0.652241479,0.5060323093,0.43779527560000003,1.7671714403999998,1.1715432770999998,3.7623359365
64,6.1851792877,22.4317026531,53.552038590500004,6.6879990775,27.5678168872,12.1921454448,32,0.3207903599,0.5690444994,0.5182622733,0.34919685079999996,2.1805088284,1.527078226,3.862787257
65,6.1065773542,34.3626449812,50.9565478087,6.3866664168,18.0694785362,24.5873072383,34,0.3833795355,0.6269121518999999,0.5096872715999999,0.4230148463,1.5800280105000002,1.1308127457,3.8547027338
66,6.103229510399999,1.2450799261,74.5303696223,6.0452359914,18.5729203723,0.8514740140000001,44,0.3722920307,0.6808003644,0.511343424,0.4845496658,1.7783739344999998,1.2014378145,-0.057178487300000004
67,6.0614569189,40.7325214926,45.8077690543,5.4416947951,11.4941349794,37.2564011711,33,0.35056980590000003,0.6644089252000001,0.5000839192000001,0.4778573815,1.6851871686000002,1.0852334419,3.2802624641
68,6.0649473239,31.9573107969,50.4324900229,6.8990736226,16.6179099626,26.0505263918,31,0.3576233986,0.4084405966,0.4977969193,0.35540472840000004,1.6985073066,1.1011449863,3.6718591533
69,5.9912145159,2.7425021885,69.21969996760001,6.5354774496,22.6535237616,1.5912988212,44,0.3394805683,0.7000916814,0.5135326353999999,0.43718113630000005,1.7165148563,1.2502328469,3.3902854464
70,5.9210420828,3.4110205989999995,67.00342086479999,6.2473851303,24.768045677199996,1.9811483277000002,41,0.37987022740000004,0.6280627579,0.5068171190999999,0.3760551534,1.5871192974000001,1.1003742515000001,3.4837548772000004
71,6.0026517365,1.5240496175999998,49.8538974991,8.1215801988,41.0748560461,0.9496662561,41,0.3343277333,0.6439145568,0.5083364368,0.44301390420000003,1.5024298793000002,0.9811589541,1.8593106081
72,6.2728770065,1.7999343007,70.562182123,5.562918408300001,22.694577542199998,1.1803219266,43,0.3870857206,0.7155822954000001,0.5169515524,0.4998492283,1.9244123016999999,1.4134715026,2.0742635478
73,6.148468295900001,1.3422737118999999,64.8538467155,6.239199746900001,27.934626524200002,0.9723270134,42,0.38615524079999997,0.680119912,0.5154550100999999,0.49495459880000003,1.8264014188,1.3068994056,2.4351247971000003
74,6.1194179114,3.4094257007,64.2020460618,7.7311470747,26.2696453425,1.797161521,45,0.3962508315,0.7082569768000001,0.5190637285999999,0.4723710467,1.8422700283000002,1.3410712384,2.7390529685000002
75,6.0440569972,1.9497634245,65.32871825810001,6.9046182507000005,26.7896647719,0.9769987192,42,0.4056084642,0.6857783233,0.5075630074,0.4930087503,1.6149399733,1.1856554564,1.4286054992
76,6.0679625181,17.4680967173,62.1127529175,5.8748215935,18.3349424901,13.6774829989,38,0.39218468729999995,0.6496187720000001,0.5069578540999999,0.4472781741,1.8652854052,1.2823846829,3.2774260987
77,6.0621559752,27.0101329769,56.6493360984,5.4212900626,15.596528644600001,22.3328451945,35,0.3957321878,0.6216859583,0.5037789812,0.4449683536,1.6540554477,1.1203216143999999,3.3190199492000003
78,6.246881659,6.855474329,71.66615532729999,5.7594447912,17.890883700299998,4.6835161812,41,0.4226876545,0.7491676859999999,0.5069665584,0.4964225315,2.0976629068,1.5383457641,2.5779735661000003
79,6.120736882799999,2.4053063007,78.21105343880001,6.169691921699999,14.558807098099999,1.0604475414,39,0.3492994625,0.6083359815,0.5190301577,0.37930991070000003,1.6591104509999999,1.1772327044,3.5665576445999996
80,6.0246575145,2.7487116951,70.3325990323,7.029621179299999,21.1872074269,1.4505723614,44,0.4090317543,0.6459417456000001,0.5129617246,0.49611944539999997,1.4965586575,1.0584979969,0.26666475559999997
81,6.1719093438999995,3.1704686514,64.6751185365,6.4396328931,26.815693616300003,2.0695549541,43,0.46688188799999997,0.7844766565000001,0.5078040739999999,0.5250906032,1.9554100727000001,1.521466411,1.2238652629
82,6.2348028057,8.2866708434,58.870115122600005,7.735531365,28.691557678800002,4.7027958337,38,0.42934795369999995,0.6068519406,0.500616728,0.40432975649999997,2.2109939133000003,1.5334685011000002,3.6659112501999997
83,6.1467574315,7.2932665104,55.4856115108,7.775240481799999,32.571134104,4.1680139035,37,0.41591129619999995,0.5725683970000001,0.5045469243,0.3752869619,2.0970046924,1.4974780909,3.5958101558999997
84,6.4367911886,9.0644641341,59.976728438,6.7439842059,28.959742105300002,4.3195452508,38,0.5056054484,0.7165071887000001,0.5009299087,0.5087948586,2.2690856790000002,1.7436176978,2.6517613437
85,6.0630872908,46.893340361999996,36.823932525,5.7907221929,17.145492883499998,40.2398523985,30,0.3803381643,0.6501757423,0.5048497628,0.47653381640000003,1.5694117337,1.054065704,3.6888703169
86,6.0248993232000005,21.143335467,53.08090009359999,6.001280220599999,25.5650204343,15.3527992516,35,0.4130777008,0.6592569070000001,0.51583042,0.44504882700000004,1.6363402306000001,1.1630751858,3.1561058635
87,5.9401712527,62.9159731965,28.2378159828,6.0029103964,11.3270187607,54.4322548601,28,0.3337791455,0.6641270358,0.4956561898,0.4763877382,1.7331514825999998,1.114993584,3.4827417914
