PA_ID,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes
125,81341,53465,27876,22918,13120,6227,3746,7289,0,165
126,57456,38646,18810,5674,15462,10481,2461,2499,1925,144
127,67196,51151,16045,21709,19572,1953,1254,3953,2301,409
128,76006,46667,29339,12513,0,2318,1746,6423,3443,20224
129,66762,43792,22970,11014,17803,2069,1704,4923,6096,183
130,65827,42587,23240,18873,16099,1087,1125,5277,0,126
131,55750,39399,16351,8336,9541,928,1091,4363,15140,0
132,57755,40350,17405,17626,11572,963,1290,4698,4201,0
133,69981,47613,22368,15093,7150,16603,1492,7049,0,226
134,68170,45450,22720,23112,6283,801,1076,14178,0,0
135,54242,37416,16826,4123,3615,13414,2088,3829,10347,0
136,77269,52261,25008,28384,11453,3605,0,8330,0,489
137,66355,43073,23282,21614,10159,1360,1101,8581,0,258
138,73239,53095,20144,22889,8673,16436,0,4423,0,674
139,78580,53817,24763,27732,9482,6394,1892,7652,0,665
140,63478,40226,23252,25322,9300,2091,1474,2039,0,0
141,77287,53735,23552,24790,3902,18274,2689,3808,0,272
142,72547,52730,19817,31138,6712,4761,2901,7218,0,0
143,74485,51161,23324,22025,22118,2870,0,4148,0,0
144,71625,45567,26058,8231,21829,6301,1352,7523,0,331
145,83396,57139,26257,32953,6933,4865,3742,8540,0,106
146,66680,43804,22876,20999,12613,2400,1854,5644,0,294
147,74218,55407,18811,26354,4561,16278,2330,5884,0,0
148,77807,53013,24794,25759,18103,2381,2501,4151,0,118
149,74679,51712,22967,18792,23322,1354,1111,6995,0,138
150,69303,49707,19596,28887,4745,3263,2149,10663,0,0
151,60992,36185,24807,19570,9899,2521,1953,1894,0,348
152,68936,44207,24729,16205,6364,812,1184,19642,0,0
153,71008,45089,25919,21026,13133,1346,1013,8356,0,215
154,54996,35064,19932,10649,13051,1349,915,5480,3620,0
155,58644,38028,20616,16463,9733,1387,0,4988,4651,806
157,74204,48593,25611,18919,7852,13344,2499,5870,0,109
158,82516,56800,25716,25246,19868,3407,1919,5734,0,626
159,72503,50976,21527,27164,10391,4623,1876,6922,0,0
160,62087,39631,22456,14186,16750,1368,1179,6148,0,0
161,79775,56174,23601,24023,0,1458,1374,7708,0,21611
162,67192,48245,18947,21689,2621,15068,2063,6121,0,683
163,71071,50498,20573,25516,4692,8521,2718,7698,0,1353
164,78290,56667,21623,32045,5240,10568,2626,6188,0,0
165,75462,42231,33231,9751,22025,2007,1245,6278,0,925
166,73626,45246,28380,14048,18557,1810,1961,7101,0,1769
167,70397,43699,26698,15284,18472,1779,1719,5709,0,736
168,73936,48550,25386,22829,16303,1339,1100,6979,0,0
169,74169,49896,24273,22445,18825,1374,0,7252,0,0
170,78171,52941,25230,22753,22588,1152,1454,4810,0,184
171,85941,53522,32419,12149,0,1919,2515,2899,0,34040
172,82010,57712,24298,31448,14308,3448,2154,6068,0,286
174,51422,30472,20950,3676,14532,830,799,4976,5126,533
175,69128,43050,26078,10492,17830,717,806,12850,0,355
176,65851,41141,24710,14479,17637,1966,1444,5392,0,223
177,75209,52418,22791,25670,13325,1454,1324,10434,0,211
178,72873,52518,20355,30550,9491,2352,1829,8296,0,0
179,53639,37457,16182,12257,15187,1380,680,6150,1803,0
180,66141,38681,27460,9150,19661,957,1466,7225,0,222
181,69794,44745,25049,16402,16361,3832,1618,6532,0,0
182,70240,40820,29420,11179,20007,1717,1208,6341,0,368
183,63476,47361,16115,24805,10761,3965,2173,5508,0,149
184,67477,47729,19748,24908,12134,2292,1898,6497,0,0
185,71445,47948,23497,17605,19488,2004,1059,7631,0,161
186,73923,50762,23161,25066,13595,1887,1216,8998,0,0
187,69205,49006,20199,28295,6360,3954,2853,7544,0,0
188,72737,54448,18289,28436,6985,6643,4866,7171,0,347
189,76519,54717,21802,25401,5591,3715,0,6870,0,13140
190,74737,52320,22417,22341,3699,15405,3018,7719,0,138
191,71035,50372,20663,28500,8391,3767,2408,7306,0,0
192,78621,56584,22037,28774,6015,7483,3941,10371,0,0
193,79770,53630,26140,20955,22406,1924,1366,6649,0,330
194,71299,42486,28813,10736,19621,1487,0,9963,0,679
195,71136,40420,30716,8386,19840,1717,0,9747,0,730
196,70989,39501,31488,7235,20708,1005,757,8928,0,868
197,64299,46499,17800,23639,2767,13109,1321,5663,0,0
198,73759,53385,20374,30227,4785,6226,3038,9109,0,0
