PA_ID,voter_share,non_voter_share,con_vote_share,lab_vote_share,libdem_vote_share,green_vote_share,ukip_vote_share,plaid_vote_share,other_vote_share
1,0.6089539320980369,0.3910460679019631,0.142483364558434,0.5191872860003877,0.16260740357904258,0.0,0.015795594030622133,0.0709994185670909,0.08892693326442276
2,0.6719888771780325,0.3280111228219676,0.35820596676233063,0.24481078555696456,0.1930854968964827,0.0,0.021090569311886805,0.1782353333778282,0.004571848094507108
7,0.6350521234170573,0.3649478765829427,0.4671910805570245,0.12094570773841001,0.3441080557024502,0.0,0.04497179622774546,0.0,0.02278335977436982
8,0.6558250861498243,0.3441749138501757,0.5930786353988715,0.19793446187296165,0.1768649376197132,0.021923694155407153,0.0,0.0,0.01019827095304654
9,0.6840377797473964,0.31596222025260357,0.4894620695240216,0.22418156418925758,0.2547122061830624,0.0,0.03164416010365841,0.0,0.0
10,0.6552165564326862,0.34478344356731383,0.3227462866017083,0.3958620344162513,0.18305237582346015,0.0,0.025273651779675877,0.03879968940209904,0.03426596197680535
11,0.6549429251400151,0.3450570748599849,0.3861351668915096,0.374472344314374,0.14439270638408983,0.0,0.019713651594934507,0.0,0.07528613081509204
16,0.6329918928103306,0.3670081071896694,0.16933813942787024,0.3040110437917018,0.14057826520438685,0.0,0.0262673517907815,0.3598051997852596,0.0
18,0.7286002472831392,0.2713997527168608,0.5775606444928727,0.086367046550677,0.2794112393269265,0.0,0.056661069629523775,0.0,0.0
19,0.6228563305289548,0.3771436694710451,0.22196862810191717,0.3369366752427587,0.33295294215287574,0.0,0.019358452983650097,0.0,0.08878330151879824
20,0.6790244982835205,0.3209755017164794,0.5414152396484552,0.1667844522968198,0.22797861737791067,0.018374558303886925,0.045447132372927426,0.0,0.0
21,0.5675635762176212,0.43243642378237884,0.24745004163197334,0.4840757701915071,0.14839196502914237,0.0,0.04386969192339717,0.0,0.07621253122398002
22,0.6829299624890808,0.3170700375109193,0.5217260449193033,0.12593581881795268,0.2843760580866032,0.0,0.06796207817614085,0.0,0.0
26,0.6665284016165159,0.33347159838348406,0.5281378353869952,0.1915506481036966,0.20405042584591312,0.01705161714763251,0.04989242723280169,0.0,0.009317046282960829
28,0.6138381978664645,0.3861618021335355,0.17804291731910107,0.543148887369605,0.0820192753015901,0.006991156297554198,0.028670357056215953,0.0,0.16112740665593367
29,0.5645301557755977,0.4354698442244023,0.172643982595065,0.47260884840950246,0.17280614037458447,0.0,0.04667441420502148,0.0,0.1352666144158266
30,0.5609118141301965,0.43908818586980347,0.16487782003855572,0.4704579794716824,0.18155056531026936,0.0,0.045094565727088004,0.0,0.13801906945240452
31,0.6400069622731822,0.3599930377268178,0.363022391442299,0.48105339497778987,0.10026289547638473,0.012011603662405947,0.01905992203789321,0.0,0.02458979240322727
32,0.6344959169655804,0.3655040830344196,0.527364141547788,0.23055642425846185,0.15728066588082465,0.0,0.038273713584642405,0.0,0.0465250547282831
33,0.6224086595987423,0.37759134040125775,0.438672180619202,0.3096456912931709,0.13360903096009835,0.0,0.0589918408405052,0.0,0.059081256287023584
34,0.6711539225948352,0.32884607740516475,0.5051920874955581,0.20387333675524144,0.24507442650136219,0.0,0.040983930193074586,0.0,0.004876219054763691
35,0.6479552494347366,0.3520447505652634,0.3389273251709462,0.5046291627165823,0.11235048510397967,0.0,0.035883575044879684,0.0,0.008209451963612158
36,0.7060852352817683,0.2939147647182317,0.31363887355052456,0.06904387716093956,0.5660068810262073,0.023786263432867518,0.01890158433504651,0.0,0.008622520494414476
37,0.666019442779327,0.33398055722067294,0.3357334324678628,0.42194134105539144,0.15838697685339176,0.01183744545970377,0.0,0.0,0.07210080416365024
38,0.6565918908371573,0.34340810916284265,0.4734997540580423,0.3510001639613051,0.147073290703394,0.011456796196097721,0.010350057386456796,0.0,0.00661993769470405
39,0.7000346749886639,0.29996532501133605,0.6106496475519146,0.11687940560106687,0.19567536673652125,0.014631358353972185,0.0494760906839398,0.0,0.012688131072585254
40,0.7201256436974283,0.2798743563025718,0.5787233150190831,0.14454976303317535,0.20578366816256344,0.012750073396804094,0.0325252694711236,0.0,0.025667910917250347
41,0.6581351233036626,0.34186487669633736,0.3890293113387433,0.3590306416566893,0.19859429737040485,0.00871358254622855,0.0251873531107268,0.0,0.01944481397720722
42,0.7193945747608439,0.28060542523915605,0.5248920706049511,0.1476947738492085,0.24888427418620326,0.014080915168406288,0.05147822285370785,0.0,0.012969743337522998
43,0.7116576992057392,0.2883423007942608,0.5578377016129032,0.16123631912442396,0.21685987903225806,0.0,0.041294642857142856,0.0,0.02277145737327189
44,0.663200930001698,0.33679906999830195,0.5281246307165085,0.19592704927718912,0.200220585338953,0.0,0.04218694607476267,0.0,0.03354078859258676
49,0.5751919410521976,0.4248080589478023,0.1710599986562451,0.2924906497054937,0.483527804528454,0.016080266959306623,0.0,0.0,0.03684128015050055
50,0.6793983527166036,0.32060164728339635,0.3672311974817243,0.13166315460860065,0.4372122063529228,0.0,0.032336949452379096,0.0,0.03155649210437316
52,0.6243984097091442,0.3756015902908558,0.13939047468853494,0.42942753508910264,0.20126951584923514,0.01687431004573411,0.0,0.0,0.21303816432739314
53,0.670705262361633,0.3292947376383671,0.4711178781556044,0.2109814094249892,0.22699674805917405,0.012894979228932875,0.03468110302825241,0.0,0.04332788210304705
54,0.6736474479218086,0.3263525520781913,0.5156355908916043,0.11951563559089161,0.27968197556194696,0.0,0.0,0.0,0.08516679795555718
