log_median_earning,religion_christian,religion_refused,religion_none,religion_other,private_sector_employment,owns_housing,mean_social_grade,log_density,pa_id
6.0764947963,56.8233710855,7.1159632861,34.6846506283,1.3760150001,0.35401171649999996,0.6817184978,1.0965850293000001,1.2656925056000001,1
6.1550703857,64.4562616325,7.81529735,26.381281574000003,1.3471594434,0.3616774057,0.7124850158,1.4058787508000001,-0.0986982925,2
6.2919394414,58.1416831855,6.9850464772,26.536248340100002,8.3370219973,0.48027163380000004,0.6641574986,1.6030090775,2.9762453551999997,7
6.104346704199999,70.17434458390001,6.105957855900001,19.7222438746,3.9974536857,0.40286327619999995,0.7825092772,1.4664669818,2.8619079352999997,8
6.5418954255,65.2690209233,6.4415939373,20.7576275222,7.5317576172,0.4528495125,0.7767484995,1.9470744406,2.9425219227999997,9
6.1255582816,65.5705714805,7.1316889885000005,26.2881037513,1.0096357796,0.46988403100000004,0.7418655626,1.3402621056,1.6598629284,10
6.2027379259,60.0161578462,7.1708976708000005,31.7160315419,1.0969129411,0.43900857909999996,0.7402560129000001,1.2803110898999999,1.9531699986000002,11
6.2344107257,55.625443679499995,8.6127482542,32.4864213428,3.2753867235,0.3249638438,0.6298486693,1.4513515044999998,0.32672021,16
6.3146344125,65.4836686646,7.9605621639,25.0372685495,1.518500622,0.4285305355,0.7697027984999999,1.8336088981999998,0.40848028490000005,18
6.050912005800001,58.2069195596,6.8175128049,33.7578742862,1.2176933493000002,0.41716615009999997,0.7088410398999999,1.1575719254,2.2472553645,19
6.206374293500001,62.7279971666,7.6279440411,26.3803789623,3.26367983,0.4546350533,0.6984122734,1.5114563106999999,0.8075155618000001,20
6.030925616,65.04243844220001,5.6253039211,20.1273153265,9.2049423102,0.4215472118,0.6619817131,1.1925920854,3.4831635761,21
6.2559419619000005,59.123182167399996,7.011210160399999,25.8888981458,7.9767095263,0.46038115520000006,0.7151322473,1.6812939268,1.7620218711000002,22
6.2698535726,63.4590597653,6.8550301879,25.7445220813,3.9413879655,0.4889572715,0.6982709333,1.5718364518,0.9334493042,26
6.246687991900001,53.4546614015,6.3738114509,18.1959399246,21.9755872229,0.3946443907,0.4603671786,1.1983402042,4.0312241072,28
6.144185634099999,67.6528921763,6.6056886856,24.3822479408,1.3591711972,0.395389082,0.6648520265,1.1748443337,2.8748229933,29
6.1639461836,68.6522767985,6.291881372100001,24.2707388814,0.785102948,0.3888722256,0.6515460699,1.12474488,2.3434037471,30
6.3088267737,70.2001666179,6.646702542000001,22.1083916871,1.0447391529999999,0.3969594365,0.7664474433,1.3238552177,0.8038259659,31
6.3231036946,61.0199917491,7.021084438099999,29.3253202805,2.6336035323,0.4486214485,0.687814895,1.4924861395,2.7007101399,32
6.3875524934,61.2854282352,6.2919307227,30.0518134715,2.3708275705,0.45976641890000003,0.6914424464,1.3203216619,1.8945169447999999,33
6.3649228591,56.4391273751,7.1206340976,32.071558205900004,4.368680321499999,0.5400656949,0.6722053957999999,1.6674946969,2.9085857618,34
6.158037746900001,70.80668156600001,6.812577065399999,20.9733353884,1.4074059803,0.4065034924,0.7170429105,1.2532544002,0.7703597399,35
6.2848801513999994,51.1518248011,8.645156934,36.9416716371,3.2613466277999996,0.3621236028,0.5830079168,1.8253063551,3.4335914422000005,36
6.194609451900001,53.607540385,5.954642767799999,20.5089945227,19.9288223246,0.4337856478,0.7217500023000001,1.274602648,2.974910149,37
6.519737084500001,55.055337413000004,8.044307415499999,28.431528736999997,8.4688264345,0.5915453992,0.42715889100000004,2.0914259884999997,4.5761981251999995,38
6.4523643621,63.0132713534,6.9757614175,21.7513356878,8.2596315413,0.48006891590000006,0.7682683295,1.9792803791999998,1.7297695838999998,39
6.5552146341999995,62.04847662939999,7.6139798416,25.0117801198,5.3257634092,0.4372054849,0.7966033111,1.9534954755,3.2278269969999998,40
6.2613008264,56.123721132700005,6.568974729400001,23.2244276018,14.082876536099999,0.4093545555,0.6136828878,1.4103506697,3.3937864054,41
6.4860083383000005,63.9476233757,6.6329741013,26.3770837287,3.0423187943,0.46065698060000004,0.7677154195,1.7989907484999998,0.7831757722,42
6.385868707899999,62.691304178500005,6.7321546789,27.9012033179,2.6753378247,0.4701334695,0.7699302551,1.7440409534,0.6378043258,43
6.2753268335,61.2225696112,6.8988836726,29.004910272399997,2.8736364438,0.4742336007,0.7328702926999999,1.5606812897,2.086755499,44
6.4509442435,51.2622310744,8.0349662509,27.7398397117,12.962962962999999,0.4908343662,0.2402291628,1.7768909550999998,4.7027512434,49
6.2247564295,70.43503526239999,6.936263504099999,21.6223355081,1.0063657255,0.3804371653,0.64728698,1.3981065825,-1.1649396929,50
6.4310089689,24.9866375218,15.3449114885,21.154996769100002,38.5134542205,0.4409508977,0.22949475739999997,1.6286164187,4.9175420788999995,52
6.2217823022,67.3026025584,7.5249629065,24.212014275999998,0.9604202591,0.3720569304,0.7763396403,1.5778266757,0.18133599379999998,53
6.1523070722,64.5904275914,7.9948772424,25.647542367,1.7671527991999998,0.35781900340000006,0.7624209851,1.5955222225999999,0.6405278861,54
6.4463545385000005,61.4515982151,7.069028321599999,25.1901010837,6.289272379600001,0.43415531409999997,0.7498743202,1.5038135262999999,3.6491562508,55
6.104346704199999,68.26656758770001,6.686707649400001,23.0201085366,2.0266162264,0.34646511560000004,0.5792975169,1.1422736333,3.4569067027,56
6.2540211008,52.403487697799996,6.9464004639,24.742150608899998,15.907961229400001,0.32521582600000004,0.5522366681,1.5890930491,3.5298428047000003,57
